	QUESTION	ANSWER_CHOICE	Q_UNDERGOER	A_UNDERGOER	UNDERGOER_SCORE	Q_ENABLER	A_ENABLER	ENABLER_SCORE	Q_TRIGGER	A_TRIGGER	TRIGGER_SCORE	Q_RESULT	A_RESULT	RESULT_SCORE	CORRECT_ANSWER
0	When one object passes through the shadow of another it is a? 	eclipse		moon			passes between Earth and Sun		passes through the shadow of another	eclipse of the sun	0.317635322957				eclipse
1	When one object passes through the shadow of another it is a? 	eclipse		earth			is in between the sun and moon		passes through the shadow of another	lunar eclipse	0.0				eclipse
2	When one object passes through the shadow of another it is a? 	eclipse		moon			is between the sun and the earth		passes through the shadow of another	solar eclipse	0.0				eclipse
3	When one object passes through the shadow of another it is a? 	eclipse		moon					passes through the shadow of another	astronomical alignment	0.0		shadow		eclipse
4	When one object passes through the shadow of another it is a? 	eclipse		celestial body					passes through the shadow of another	obscuring	0.0				eclipse
5	When one object passes through the shadow of another it is a? 	reflection		light from the sun			moon		passes through the shadow of another	reflecting	0.0				eclipse
6	When one object passes through the shadow of another it is a? 	reflection		something			light | sound		passes through the shadow of another	reflects	0.0		goes in a different direction		eclipse
7	When one object passes through the shadow of another it is a? 	reflection					surface		passes through the shadow of another	striking | falling	0.000296110941795		return | throw off		eclipse
8	When one object passes through the shadow of another it is a? 	reflection		light					passes through the shadow of another	throw | bend back	0.00302486406017				eclipse
9	When one object passes through the shadow of another it is a? 	reflection		light			matter		passes through the shadow of another	reflected	0.0				eclipse
10	How does your body acquire the oxygen the cells in your body need to function? 	diffusion	body	energy	0.0		objects that are in physical contact		acquire	diffusion | transfer	0.0	oxygen the cells in your body need to function			breathing
11	How does your body acquire the oxygen the cells in your body need to function? 	diffusion	body	water	0.876464569696				acquire	diffusion	0.0	oxygen the cells in your body need to function			breathing
12	How does your body acquire the oxygen the cells in your body need to function? 	diffusion	body	water from the lumen	0.876464569696				acquire	diffuses	0.0	oxygen the cells in your body need to function			breathing
13	How does your body acquire the oxygen the cells in your body need to function? 	diffusion	body	plants	0.0				acquire	diffusion	0.0	oxygen the cells in your body need to function	get rid of carbon dioxide and oxygen	0.175864530405	breathing
14	How does your body acquire the oxygen the cells in your body need to function? 	diffusion	body	oxygen from the water	0.876464569696				acquire	diffuses	0.0	oxygen the cells in your body need to function			breathing
15	How does your body acquire the oxygen the cells in your body need to function? 	absorption	body	plants	0.0		their roots systems		acquire	absorb water and the nutrients from the water	0.0311418685121	oxygen the cells in your body need to function			breathing
16	How does your body acquire the oxygen the cells in your body need to function? 	absorption	body	plant	0.0		the roots		acquire	absorbs the water	0.0311418685121	oxygen the cells in your body need to function			breathing
17	How does your body acquire the oxygen the cells in your body need to function? 	absorption	body	plants	0.0				acquire	absorb	0.0311418685121	oxygen the cells in your body need to function			breathing
18	How does your body acquire the oxygen the cells in your body need to function? 	absorption	body	plants	0.0				acquire	absorbing light energy	0.0311418685121	oxygen the cells in your body need to function	obtain energy	0.0	breathing
19	How does your body acquire the oxygen the cells in your body need to function? 	breathing	body	us	0.0				acquire	breathe	0.0	oxygen the cells in your body need to function			breathing
20	How does your body acquire the oxygen the cells in your body need to function? 	breathing	body	animals | plants	0.0				acquire	breathe	0.0	oxygen the cells in your body need to function			breathing
21	How does your body acquire the oxygen the cells in your body need to function? 	breathing	body	animals	0.0				acquire	breathe in oxygen	0.0	oxygen the cells in your body need to function			breathing
22	How does your body acquire the oxygen the cells in your body need to function? 	breathing	body	plants	0.0				acquire	breathing	0.0	oxygen the cells in your body need to function			breathing
23	How does your body acquire the oxygen the cells in your body need to function? 	breathing	body	animals	0.0				acquire	take in air  | breathing	0.00951248513674	oxygen the cells in your body need to function			breathing
24	How does your body acquire the oxygen the cells in your body need to function? 	breathing	body	humans	0.0				acquire	inhale | breathe	0.0	oxygen the cells in your body need to function	carbon dioxide	0.0	breathing
25	How does your body acquire the oxygen the cells in your body need to function? 	breathing	body				lungs		acquire	process | moves air in and out	0.0	oxygen the cells in your body need to function			breathing
26	How does your body acquire the oxygen the cells in your body need to function? 	breathing	body	mouth | nose	0.0		muscle contraction | muscle relaxation		acquire	process of respiration | inhaled | exhaled	0.0	oxygen the cells in your body need to function			breathing
27	How does your body acquire the oxygen the cells in your body need to function? 	breathing	body	fish	0.0				acquire	breathes | taking | forcing it out	0.000823395688935	oxygen the cells in your body need to function			breathing
28	How does your body acquire the oxygen the cells in your body need to function? 	osmosis	body	Plant roots	0.0				acquire	osmosis	0.0	oxygen the cells in your body need to function	uptake water	0.103073194581	breathing
29	How does your body acquire the oxygen the cells in your body need to function? 	osmosis	body	Roots	0.0				acquire	osmosis	0.0	oxygen the cells in your body need to function	absorb water	0.103073194581	breathing
30	How does your body acquire the oxygen the cells in your body need to function? 	osmosis	body	Water	0.876464569696				acquire	osmosis	0.0	oxygen the cells in your body need to function	taken into the plant	0.0924549427176	breathing
31	How does your body acquire the oxygen the cells in your body need to function? 	osmosis	body	Water	0.876464569696				acquire	osmosis	0.0	oxygen the cells in your body need to function	enters plant cells from the environment	0.304538711261	breathing
32	How does your body acquire the oxygen the cells in your body need to function? 	osmosis	body	plant	0.0				acquire	osmosis	0.0	oxygen the cells in your body need to function	water gained	0.103073194581	breathing
33	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	run-off	tiny drops of liquid				snow melts into water		form | process	runoff	0.0	clouds			condensation
34	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	run-off	tiny drops of liquid	water	0.0402318035116				form | process	runoff | overland flow	0.0	clouds	contamination	0.0	condensation
35	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	run-off	tiny drops of liquid						form | process	surface runoff | major component of the water cycle	0.00432343619688	clouds			condensation
36	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	run-off	tiny drops of liquid						form | process	run-off | water cycle	0.0	clouds			condensation
37	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	run-off	tiny drops of liquid	water	0.0402318035116				form | process	flowing	0.0	clouds			condensation
38	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	run-off	tiny drops of liquid						form | process	drains | flows off	0.0	clouds			condensation
39	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	run-off	water vapor				snow melts into water		cools and changes	runoff	0.0	liquid			condensation
40	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	run-off	water vapor	water	1.0				cools and changes	runoff | overland flow	0.00173123601955	liquid	contamination	0.0	condensation
41	As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	run-off	water vapor						cools and changes	surface runoff | major component of the water cycle	0.0140215809848	liquid			condensation
