QUESTION	OPTIONS	OPTION_A	OPTION_B	OPTION_C	OPTION_D	QUESTION_PROCESS_NAME	ANSWER
What is the name of the process by which most cells divide?	(A) regeneration (B) mitosis (C) life cycle (D) chromosome	regeneration	mitosis	life cycle		0	OPTION_B
What process produces sex cells?	(A) splitting (B) mitosis (C) meiosis	splitting	mitosis	meiosis		0	OPTION_C
When light strikes a surface and bounces off, what occurs?	(A) reflection (B) invisible spectrum (C) refraction	reflection	refraction			0	OPTION_A
When you rub your hands together very quickly, it produces heat and is called 	(A) force (B) temperature (C) friction (D) gravity	friction	gravity			0	OPTION_A
Which of the following must all plant and animal species do in order for each species to survive?	(A) migrate (B) reproduce (C) make food (D) change color	migrate	reproduce	make food		0	OPTION_B
To move in a circle around an object is to <span class="blank"> </span>	(A) shadow (B) eclipse (C) rotate (D) revolve	eclipse	rotate	revolve		0	OPTION_C
Glaciers are slow-moving sheets of ice found on land. What process occurs when glacial ice is heated to 5Â° Celsius?	(A) evaporation (B) freezing (C) melting (D) precipitation	evaporation	freezing	melting	precipitation	0	OPTION_C
The continuous movement of nitrogen between air, soil, plants and animals.	(A) carbon cycle (B) biomes (C) grasslands (D) pollutants (E) decomposers (F) nitrogen cycle (G) consumers (H) atmosphere	carbon cycle	nitrogen cycle			0	OPTION_B
The process that forms reproductive cells is called?	(A) mitosis (B) meiosis	mitosis	meiosis			0	OPTION_B
What causes sunflowers to bend toward the sunlight?	(A) positive tropism (B) transportation (C) pollination (D) negative tropism	positive tropism	transportation	pollination	negative tropism	0	OPTION_A
<span class="blank"> </span> is a process in the water cycle, where water vapor rises into the atmosphere.	(A) Precipitation (B) Transpiration (C) Condensation (D) Evaporation	precipitation	transpiration	condensation	evaporation	0	OPTION_D
Teeth help us to <span class="blank"> </span>. 	(A) ride a bike (B) talk (C) swim (D) write	talk	swim	write		0	OPTION_A
The process in which a snake loses its outer skin is called <span class="blank"> </span>. 	(A) molting (B) shedding (C) loosening (D) wriggling	molting	shedding	loosening		0	OPTION_A
Babies will <span class="blank"> </span> or get traits from their parents. 	(A) offspring (B) survive (C) reproduce (D) inherit	survive	reproduce	inherit		0	OPTION_C
When an object orbits another object, it <span class="blank"> </span>. 	(A) vibrates (B) rotates (C) explodes (D) revolves	vibrates	rotates	explodes	revolves	0	OPTION_D
Precipitation that falls in form of balls of ice is called <span class="blank"> </span>. 	(A) hail (B) rain (C) snow	hail	rain	snow		0	OPTION_A
How does your body acquire the oxygen the cells in your body need to function? 	(A) osmosis (B) diffusion (C) breathing (D) absorption	osmosis	diffusion	breathing	absorption	0	OPTION_C
The force that keeps us on Earth is <span class="blank"> </span> 	(A) inertia (B) magnetism (C) gravity (D) momentum	inertia	magnetism	gravity		0	OPTION_C
There is one more way to deal with our growing garbage problem. Leaves and grass clippings can be <span class="blank"> </span>or placed in a pile in the backyard. They will break down into soil and not have to be collected and take up space in our landfills. 	(A) composted (B) separated (C) processed (D) crushed	composted	separated	processed	crushed	0	OPTION_A
The process of adding fertilizer to soil to replace nutrients used up by previous crops 	(A) crop rotation (B) fertilization (C) strip farming (D) terracing	crop rotation	fertilization	strip farming	terracing	0	OPTION_B
The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	(A) contour plowing (B) terracing (C) crop rotation (D) fertilization	contour plowing	terracing	crop rotation	fertilization	0	OPTION_C
A giraffe's long neck is a(n) 	(A) adaption (B) camouflage (C) mimicry (D) food web	adaptation	camouflage	mimicry		0	OPTION_A
An adaptation in which an animal looks very much like another animal or an object is a _____________. 	(A) mimicry (B) camouflage (C) body covering (D) all of the above	mimicry	camouflage			0	OPTION_A
Bees help flowers reproduces through a process called 	(A) fertilization (B) phototropism (C) transpiration (D) pollination	fertilization	phototropism	transpiration	pollination	0	OPTION_D
What is it called when an object is moved from one position to another? 	(A) gravity (B) push/pull (C) work	gravity	work			0	OPTION_B
If a fire destroys a forest, new plants will grow. 	(A) conservation (B) plantation (C) erosion (D) succession	conservation	erosion	succession		0	OPTION_C
What starts the change from an igneous rock to a sedimentary rock? 	(A) heat (B) pressure (C) melting (D) weathering	melting	weathering			0	OPTION_B
When we cut down trees or drain wetlands, we do what to the habitats of many living things? 	(A) help (B) destroy (C) build (D) plant	help	destroy	build	plant	0	OPTION_B
Rocks change over time from one type to another.	(A) type changing (B) the rock cycle (C) erosion (D) melting	the rock cycle	erosion	melting		0	OPTION_A
Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	(A) inferring (B) predicting (C) measuring (D) classifying	inferring	predicting	measuring	classifying	0	OPTION_C
The process of cutting into a hillside to slow the speed of water flowing down a slope 	(A) contour plowing (B) terracing (C) windbreaking (D) fertilization	contour plowing	terracing	windbreaking	fertilization	0	OPTION_B
The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	(A) fertilization (B) crop rotation (C) contour plowing (D) strip farming	fertilization	crop rotation	contour plowing	strip farming	0	OPTION_D
What process ends with a new and improved plant? 	(A) grafting (B) photosynthesis (C) germinating (D) all of the above	grafting	photosynthesis	germinating		0	OPTION_A
If plaque is not cleaned off the teeth, it can cause the enamel of your teeth to <span class="blank"> </span>. 	(A) harden (B) become whiter (C) shine (D) decay	harden	become whiter	shine	decay	0	OPTION_D
When plants use stored sugar for energy, they go through a process called 	(A) photosynthesis (B) transpiration (C) respiration (D) perspiration	photosynthesis	transpiration	respiration	perspiration	0	OPTION_C
A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	(A) combustion (B) convection (C) radiation (D) conduction	combustion	convection	radiation	conduction	0	OPTION_D
Andy is cooking a piece of ham in a pan. 	(A) friction (B) conduction (C) insulation (D) temperature	friction	conduction			0	OPTION_B
Terracing a hillside can slow __________________________. 	(A) weathering (B) absorption (C) erosion (D) soil formation	weathering	absorption	erosion	soil formation	0	OPTION_C
