	QUESTION	ANSWER_CHOICE	MEAN_SCORE	MAX_SCORE	MEDIAN_SCORE	CORRECT_ANSWER
0	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	conduction	1.000255102040816	1.00127551020408	1.0	conduction
1	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	convection	1.000519334834006	1.00127551020408	1.00004565376187	conduction
2	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	combustion	0.36	0.36	0.36	conduction
3	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	radiation	1.0	1.0	1.0	conduction
4	What starts the change from an igneous rock to a sedimentary rock? 	melting	1.0	1.0	1.0	weathering
5	What starts the change from an igneous rock to a sedimentary rock? 	weathering	0.15	0.5	0.0625	weathering
6	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	condensation	1.0	1.0	1.0	evaporation
7	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	precipitation	1.0751634281056	1.192624614334	1.0	evaporation
8	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	evaporation	2.0	2.0	2.0	evaporation
9	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "	mimicry	0.0	0.0	0.0	camouflage
10	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "	camouflage	0.0	0.0	0.0	camouflage
11	mowing the lawn 	physical change	0.0	0.0	0.0	physical change
12	mowing the lawn 	chemical change	0.0	0.0	0.0	physical change
13	The path Earth makes around the sun is called the 	rotation	0.00016680408236448003	0.00026858949512700007	0.00026858949512700007	orbit
14	The path Earth makes around the sun is called the 	orbit	1.8834694762886	2.0	2.0	orbit
15	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	evaporation	1.1093903524619801	1.135162572564	1.135162572564	condensation
16	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	condensation	2.119799844578	2.507175092766	2.022956032531	condensation
17	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	precipitation	0.396651488449096	0.87921859114	0.157589697772	condensation
18	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	transpiration	0.5785106321005999	0.728690216875	0.507175092766	condensation
19	The continuous movement of nitrogen between air, soil, plants and animals. 	carbon cycle	1.0	1.0	1.0	nitrogen cycle
20	The continuous movement of nitrogen between air, soil, plants and animals. 	nitrogen cycle	1.00390625	1.00390625	1.00390625	nitrogen cycle
21	Andy is cooking a piece of ham in a pan. 	conduction	0.0	0.0	0.0	conduction
22	Andy is cooking a piece of ham in a pan. 	friction	0.0	0.0	0.0	conduction
23	What causes sunflowers to bend toward the sunlight? 	negative tropism	0.007341702795225	0.0123456790123	0.007341702795225	positive tropism
24	What causes sunflowers to bend toward the sunlight? 	transportation	0.0	0.0	0.0	positive tropism
25	What causes sunflowers to bend toward the sunlight? 	positive tropism	0.0	0.0	0.0	positive tropism
26	What causes sunflowers to bend toward the sunlight? 	pollination	0.0	0.0	0.0	positive tropism
27	"A liquid changing to a solid, A solid changing to a liquid, and a liquid changing into a gas are all examples of <span class=""blank""> </span> "	boiling	1.0012864483616	1.2058899337864	1.0691711837864	physical change
28	"A liquid changing to a solid, A solid changing to a liquid, and a liquid changing into a gas are all examples of <span class=""blank""> </span> "	physical change	1.1501415621017261	1.38840165778	1.0721845014668	physical change
29	"A liquid changing to a solid, A solid changing to a liquid, and a liquid changing into a gas are all examples of <span class=""blank""> </span> "	evaporation	2.3668724103132	3.0	2.276423721961	physical change
30	Waves change a shoreline by erosion and __________. 	deposition	0.20954938075975	0.32459205936999996	0.20200633327450002	deposition
31	Waves change a shoreline by erosion and __________. 	condensation	0.0	0.0	0.0	deposition
32	Waves change a shoreline by erosion and __________. 	precipitation	0.0	0.0	0.0	deposition
33	Waves change a shoreline by erosion and __________. 	evaporation	0.13364999245067602	0.16495687127800002	0.16495687127800002	deposition
34	"<span class=""blank""> </span>is the process of liquid water turning into water vapor. "	storage	0.50929752066115	1.0	0.50929752066115	evaporation
35	"<span class=""blank""> </span>is the process of liquid water turning into water vapor. "	condensation	0.7472881913347994	1.135162572564	0.7247739888410001	evaporation
36	"<span class=""blank""> </span>is the process of liquid water turning into water vapor. "	precipitation	0.16919338011860002	0.259138989253	0.111111111111	evaporation
37	"<span class=""blank""> </span>is the process of liquid water turning into water vapor. "	evaporation	2.0	2.0	2.0	evaporation
38	A new aluminum can made from used cans is an example of 	repairing	0.08910153662810001	0.08910153662810001	0.08910153662810001	recycling
39	A new aluminum can made from used cans is an example of 	reducing	0.0007017236086139999	0.0007017236086139999	0.0007017236086139999	recycling
40	A new aluminum can made from used cans is an example of 	reusing	0.0	0.0	0.0	recycling
41	A new aluminum can made from used cans is an example of 	recycling	0.0	0.0	0.0	recycling
42	Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	metamorphosis	0.46666666666660006	1.0	0.111111111111	photosynthesis
43	Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	photosynthesis	2.062764662719	2.194281285565	2.0	photosynthesis
44	Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	pollination	1.000031251617411	1.00015625	1.0	photosynthesis
45	Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	reproduction	1.381202173853	1.393169383983	1.393169383983	photosynthesis
46	Burning a match is a 	physical change	0.03144033914556	0.0673675526626	0.012044115333399998	chemical change
47	Burning a match is a 	chemical change	0.01750105288542	0.0295014880952	0.01750105288542	chemical change
48	bleaching your hair 	physical change	0.12009346418651998	0.20833333333299997	0.09803349689989999	chemical change
49	bleaching your hair 	chemical change	0.12655290139295	0.20833333333299997	0.12655290139295	chemical change
