physical change	molecule object wave system		change			A change in the physical state of a molecule, object, wave or system.
physical change			physical change	change in physical properties		A physical change involves a change in physical properties
physical change	objects substances		physical changes			Physical changes occur when objects or substances undergo a change that does not change their chemical composition
physical change			physical changes	separate mixtures		Physical changes are used to separate mixtures into their component compounds, but can not usually be used to separate compounds into chemical elements or simpler compounds.
physical change	chemical substance		physical changes			Physical changes are changes affecting the form of a chemical substance, but not its chemical composition.
evaporate | evaporation	water		evaporation	Clouds		Clouds get their water from evaporation.
evaporate | evaporation	oils		evaporate 			Essential oils evaporate readily and are easily damaged by light, extremes of temperature and prolonged exposure to oxygen in the air.
evaporate | evaporation	moisture		evaporation | extracting			evaporation - the process of extracting moisture
evaporate | evaporation	matter		evaporation | changes	one state to another		Evaporation and condensation are two processes through which matter changes from one state to another.
evaporate | evaporation	water liquid state		evaporation | changing	gaseous state vapor		Evaporation involves changing water from its liquid state to a gaseous state (vapor)
evaporate | evaporation	liquid		evaporation | vaporization	gaseous phase	surface of a liquid	Evaporation is a type of vaporization of a liquid that occurs from the surface of a liquid into a gaseous phase that is not saturated with the evaporating substance.
evaporate | evaporation	substance liquid state	increase in temperature and/or pressure	process | changing | evaporation	gaseous state		Evaporation is the process of a substance in a liquid state changing to a gaseous state due to an increase in temperature and/or pressure.
evaporate | evaporation	matter liquid		evaporation | changes	gas		In evaporation, matter changes from a liquid to a gas.
evaporate | evaporation	Liquid water		changing | evaporation	water vapor		Liquid water changing to water vapor is evaporation.
evaporate | evaporation	Surface water	energy of the sun	evaporated		from the earth	Surface water is evaporated from the earth by the energy of the sun.
evaporate | evaporation	liquid	temperature below the boiling point	change	vapor		The change of a liquid into a vapor at a temperature below the boiling point.
evaporate | evaporation	water		change of state | evaporation	water vapor		The change of state from water to water vapor is called evaporation.
evaporate | evaporation	liquid	heat	changing	gas		The changing of a liquid into a gas, often under the influence of heat (as in the boiling of water).
evaporate | evaporation	liquid water	energy from the sun	change | evaporate	water vapor		The energy from the sun heated the water and caused it to evaporate - change from liquid water to water vapor.
evaporate | evaporation	liquid water		process | evaporation | changing	water vapor		The process of liquid water changing into water vapor is called evaporation.
evaporate | evaporation	water		evaporated	water vapor	in the air	The water evaporated back into water vapor in the air.
evaporate | evaporation	Water		evaporates	water vapor	into the air	Water evaporates as water vapor into the air.
evaporate | evaporation	Water		evaporation		the atmosphere	Water from the oceans enters the atmosphere through evaporation.
boiling	water	transfer of energy through movement	boiling			Convection is the transfer of energy through movement, such as boiling water.
boiling						Steam is water vapor that is at temperatures above the boiling point of water.
boiling						The large amounts of energy required to change the state of water apply to both melting ice and boiling water.
boiling	water		boiling	bubbles		The bubbles seen when boiling water is not a chemical change.
boiling	water		phase change | boiling			Phase change examples are the melting of ice or the boiling of water.
positive tropism			tropism			A tropism is a growth movement whose direction is determined by the direction from which the stimulus strikes the plant.
positive tropism						the plant, or a part of it, grows in the direction from which the stimulus originates.
positive tropism			positive tropism			When the movement is towards the stimulus, it is called positive tropism
transportation	Water nutrients plant		transporting			Water helps a plant by transporting important nutrients through the plant.
transportation	Plants water		transport	seeds		Plants which grow beside water often rely on water to transport their seeds for them.
transportation	Water		transport			Water also helps to transport all the nutrients around the plant.
transportation	plants		transported		in plants	David learns why plants are green and how water is transported in plants.
transportation	people		transportation	move from one place to another	from one place to another	Transportation is the system or vehicles used to move people or things from one place to another.
pollination	Plants	animals	pollinating			Plants need the help of animals for pollinating their flowers and dispersing their seeds.
pollination	plants		cross-pollinate			The plants will cross-pollinate with each other and the characteristic of each plant will affect the other.
pollination	plants		pollinated			Parts of the Plant Before plants can produce seeds they have to be pollinated.
pollination	plants		self-pollinate			Some plants also can self-pollinate, which means they can produce seeds without fertilization by another plant.
pollination	plants		pollinated			Some of the different ways plants are pollinated.
negative tropism	direction		tropism | growth movement			A tropism is a growth movement whose direction is determined by the direction from which the stimulus strikes the plant.
negative tropism			growth away			growth away from the stimulus.
negative tropism			movement		away	Likewise, when the movement is away from the stimulus, it is called negative tropism
precipitation	Water		precipitation | falling		the earth [destination]	precipitation Water falling to the Earth.
precipitation			precipitation			The plant will then use the stored water in times or seasons of low precipitation.
precipitation	Water		falls		sky [source] earth[destination]	precipitation Water that falls to the Earth from the sky.
precipitation	water		precipitation | falls back			Rain is a form of precipitation in which water falls back to earth as a liquid.
precipitation	water		precipitates			Also when the air cannot hold any more water, it precipitates.
precipitation	water		falls | precipitation		sky	Precipitation is the term used to describe water (moisture) that falls from the sky.
precipitation	water		falling		sky	Different forms of precipitation include: Rain is liquid water falling from the sky.
precipitation	water vapour		falling		atmosphere	falling products of condensation of water vapour in the atmosphere, as rain, snow, or hail.
precipitation	water vapour	gravity	falls | precipitation			precipitation is any product of the condensation of atmospheric water vapour that falls under gravity.
precipitation	liquid solid water		fall | precipitation	reach the ground	clouds	The liquid and solid water particles that fall from clouds and reach the ground are known as precipitation
transpiration	plant	water	transpiration			Most of the available water is used in transpiration to pull nutrients into the plant.
transpiration	plant		transpiration	loses water		During transpiration, the plant loses water.
transpiration	Plant		transpiration | movement	water that enters a plant is lost		Water and its Movement Through the Plant Roughly 90% of the water that enters a plant is lost via transpiration.
transpiration	plant		transpiration | uptake			The main driving force of water uptake and transport into a plant is transpiration of water from leaves.
transpiration	plants	evaporation	water cycle	loss of water		Part of the water cycle that involves the loss of water from plants due to evaporation.
condensation | condense	gas		phase change	liquid		Condensation is defined as the phase change from gas (vapor) to liquid.
