QUESTION	Q_UNDERGOER	Q_ENABLER	Q_TRIGGER	Q_RESULT	Q_UNDERSPECIFIED	ANSWER_CHOICE	ANSWER_SENTENCE	A_UNDERGOER	A_ENABLER	A_TRIGGER	A_RESULT	A_UNDERSPECIFIED	UNDERGOER_SCORE	ENABLER_SCORE	TRIGGER_SCORE	RESULT_SCORE	UNDERSPECIFIED_SCORE	CORRECT_ANSWER
When one object passes through the shadow of another it is a? 	object	of	passes through the shadow of another	None	None	eclipse	An eclipse of the Sun can only occur at New Moon when the Moon passes between Earth and Sun.	Moon	passes between Earth and Sun	eclipse of the sun	None	None	0.224376731302	0	0.317635322957	nan	nan	eclipse
When one object passes through the shadow of another it is a? 	object	of	passes through the shadow of another	None	None	eclipse	a lunar eclipse is when the earth is in between the sun and moon.	earth	is in between the sun and moon	lunar eclipse	None	None	0.150815345461	0	0	nan	nan	eclipse
When one object passes through the shadow of another it is a? 	object	of	passes through the shadow of another	None	None	eclipse	A solar eclipse is when the moon is between the sun and the earth.	moon	is between the sun and earth	solar eclipse	None	None	0.224376731302	0	0	nan	nan	eclipse
When one object passes through the shadow of another it is a? 	object	of	passes through the shadow of another	None	None	eclipse	An astronomical alignment in which a planetary object (for example, the Moon) comes between the Sun and another planetary object (for example, the Earth), resulting in a shadow being cast by the middle object onto the other object.	Moon		astronomical alignment	shadow	None	0.224376731302	0	0	nan	nan	eclipse
When one object passes through the shadow of another it is a? 	object	of	passes through the shadow of another	None	None	eclipse	The partial or complete obscuring, relative to a designated observer, of one celestial body by another.	celestial body		obscuring	None	None	1.0	0	0	nan	nan	eclipse
When one object passes through the shadow of another it is a? 	object	of	passes through the shadow of another	None	None	reflection	Only the part of the moon that is reflecting the light from the Sun is changing.	light from the Sun	moon	reflecting	None	None	0.145124716553	0	0	nan	nan	eclipse
When one object passes through the shadow of another it is a? 	object	of	passes through the shadow of another	None	None	reflection	If light or sound 'reflects' off something, it hits it and goes in a different direction.	something	light sound	reflects	goes in a different direction	None	0	0	0	nan	nan	eclipse
When one object passes through the shadow of another it is a? 	object	of	passes through the shadow of another	None	None	reflection	To cause to return or to throw off after striking or falling on any surface, and in accordance with certain physical laws		surface	striking | falling	return throw off	None	0	0	0.000296110941795	nan	nan	eclipse
When one object passes through the shadow of another it is a? 	object	of	passes through the shadow of another	None	None	reflection	To throw or bend back (light, for example) from a surface	light		throw | bend back	None	None	0.0196424471993	0	0.00302486406017	nan	nan	eclipse
When one object passes through the shadow of another it is a? 	object	of	passes through the shadow of another	None	None	reflection	When light interacts with matter, some of the light is transmitted, some is reflected, and some is absorbed.	light	matter	reflected	None	None	0.0196424471993	0	0	nan	nan	eclipse
How does your body acquire the oxygen the cells in your body need to function? 	body	None	acquire	oxygen	None	diffusion	Conduction or diffusion The transfer of energy between objects that are in physical contact.	energy	objects that are in physical contact	diffusion | transfer		None	0	nan	0	0	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 	body	None	acquire	oxygen	None	diffusion	the diffusion of water into the blood.	water	None	diffusion		into the blood	0.876464569696	nan	0	0	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 	body	None	acquire	oxygen	None	diffusion	The water from the lumen diffuses into the blood.	water from the lumen	None	diffuses		into the blood	0.876464569696	nan	0	0	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 	body	None	acquire	oxygen	None	diffusion	Plants get rid of carbon dioxide and oxygen through diffusion.	Plants	None	diffusion	get rid of carbon dioxide and oxygen	None	0	nan	0	1.0	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 	body	None	acquire	oxygen	None	diffusion	Oxygen from the water diffuses into the capillaries in the gills.	Oxygen from the water	None	diffuses		into the capillaries in the gills	0.876464569696	nan	0	0	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 	body	None	acquire	oxygen	None	absorption	Plants absorb water and the nutrients from the water via their roots systems.	Plants	their roots systems	absorb water and the nutrients from the water		None	0	nan	0.0311418685121	0	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 	body	None	acquire	oxygen	None	absorption	The part of the plant that absorbs the water is the roots.	plant	the roots	absorbs the water		None	0	nan	0.0311418685121	0	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 	body	None	acquire	oxygen	None	absorption	Plants need much more water than animals because they lose most of the water they absorb.	Plants	None	absorb		water	0	nan	0.0311418685121	0	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 	body	None	acquire	oxygen	None	absorption	Plants only absorb as much water as they need.	Plants	None	absorb		water	0	nan	0.0311418685121	0	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 	body	None	acquire	oxygen	None	absorption	Plants obtain energy by absorbing light energy.	Plants	None	absorbing light energy	obtain energy	None	0	nan	0.0311418685121	0	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 	body	None	acquire	oxygen	None	breathing	Plants need energy to give oxygen for us to breathe and animals need energy to search for more foods.	us	None	breathe		oxygen	0	nan	0	0	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 	body	None	acquire	oxygen	None	breathing	All animals and plants need oxygen to breathe.	animals plants	None	breathe		oxygen	0	nan	0	0	nan	breathing
