When one object passes through the shadow of another it is a? 	object	of	passes through the shadow of another			When one object passes through the shadow of another it is a?
How does your body acquire the oxygen the cells in your body need to function? 	body		acquire	oxygen		How does your body acquire the oxygen the cells in your body need to function?
As water vapor rises in the atmosphere, it cools and changes back to liquid.	vapor		cools and changes	water	rises in the atmosphere	As water vapor rises in the atmosphere, it cools and changes back to liquid.
Tiny drops of liquid form clouds in this process called			form | process			Tiny drops of liquid form clouds in this process called
The process in which something changes from a gas state to a liquid state 	something gas		process | changes	liquid state		The process in which something changes from a gas state to a liquid state
Liquid water becomes a gas called water vapor through the process of <span class="blank"> </span> 	Liquid water		process | becomes	gas water vapor		Liquid water becomes a gas called water vapor through the process of
<span class="blank"> </span> refers to the movement of Earth around the sun. 	Earth		movement		around the sun	refers to the movement of Earth around the sun.
The process in which a snake loses its outer skin is called <span class="blank"> </span>. 	snake skin		process			The process in which a snake loses its outer skin is called .
The process by which a gas changes into a liquid is called <span class="blank"> </span>. 	gas	changes into	process | changes	liquid is called		The process by which a gas changes into a liquid is called .
The continuous transfer of carbon between the atmosphere and organisms 	organisms		continuous transfer		between the atmoshpere and organisms	The continuous transfer of carbon between the atmosphere and organisms
What is the process of the movement of water and dissolved materials through the cell membrane? 	water dissolved	cell	process | movement			What is the process of the movement of water and dissolved materials through the cell membrane?
The continuous movement of nitrogen between air, soil, plants and animals. 	nitrogen plants animals	air soil	continuous movement		between air, soil, plants and animals	The continuous movement of nitrogen between air, soil, plants and animals.
What make oceans bigger? 			make			What make oceans bigger?
A giraffe's long neck is a(n) 						A giraffe's long neck is a(n)
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 		A/an living survive in its environment	helps			A/an  is something that helps a living thing survive in its environment.
<span class="blank"> </span>is a trait that helps a living thing survive in its environment. 	living thing	in	trait	survive		is a trait that helps a living thing survive in its environment.
The process of making a new plant from the joining of a sperm and a egg cell is known as 		cell	process	making plant sperm a egg		The process of making a new plant from the joining of a sperm and a egg cell is known as
Offspring come from a single parent during <span class="blank"> </span>. 	Offspring		come from	parent		Offspring come from a single parent during .
Which of the following is an unwanted change in the environment caused by harmful substances? 						Which of the following is an unwanted change in the environment caused by harmful substances?
Colors, patterns and shapes that disguise an animal from predators. 	patterns and shapes		disguise	animal from predators	from predators	Colors, patterns and shapes that disguise an animal from predators.
If a snake copies another snake it is called 	snake		copies another snake			If a snake copies another snake it is called
A(n) <span class="blank"> </span> is a modified feature that helps a plant survive in the environment. 						A(n)  is a modified feature that helps a plant survive in the environment.
Select whether the example is a chemical change or a physical change<br/><br/>Glass breaking 			breaking			Select whether the example is a chemical change or a physical change Glass breaking
Is burning a chemical change or physical change? 			burning			Is burning a chemical change or physical change?
spoiling food 			spoiling			spoiling food
squeezing oranges to make orange juice 	oranges		squeezing			squeezing oranges to make orange juice
mixing lemonade powder into water 	powder		mixing | into water			mixing lemonade powder into water
mowing the lawn 			mowing			mowing the lawn
bleaching your hair 			bleaching			bleaching your hair
fireworks exploding 	fireworks		exploding			fireworks exploding
corroding metal 			corroding			corroding metal
Burning a match is a 	match		burning			Burning a match is a
