PROCESS	UNDERGOER	ENABLER	TRIGGER	THEME	RESULT	MEDIUM	SOURCE	TARGET	LOCATION	DIRECTION
absorption			take in							
adaptation	species or individual | organism	inheritable characteristic | natural selection	biological adaptation	structure, function, or behavior	increases its reproductive success | improves its chance of survival in a specific environment					
become whiter	something		make		whie or whiter					
breathing	human body	lungs	breathed	takes the oxygen						
build		combining materials or parts	make		something					
camouflage	something | animal	Protective coloring or another feature	modifying | conceals | exploit	appearance | natural surroundings	concealing the identity | blend into its surroundings | disguise something					
carbon cycle	carbon		continuous exchange							
classifying			arrange or organize by classes							
combustion			chemical change | oxidation		heat | light					
composted	mixture of various decaying organic substances, as dead leaves or manure	action of aerobic bacteria, fungi, and other organisms	fertilizing | gathering	soil	decompose					
condensation	water vapor		changed		liquid water					
conduction	heat		direct transfer							
conservation	wildlife and natural resources such as forests and water		protection, preservation, management, or restoration		prevent waste, destruction, damage, or neglect					
contour plowing	piece of cropland		ploughing following the contours of the land | Tilling	soil	minimize the effects of erosion | prevents fertile topsoil from being carried downhill by flowing rainwater					
convection	heat	molecular motion				fluid | liquid | gas				
crop rotation			growing | rotating	different crops	preserve the productive capacity of the soil | add nutrients to the soil					
crushed	rock, ore, etc	force that destroys or deforms	press or squeeze | break or grind		small particles					
decay			rotting | decomposition							
destroy	something		destroy		break it or make it not exist anymore					
diffuses	particles		movement				area of high concentration	area of low concentration		
eclipse	one celestial body		obscures							
erosion	land surface materials, especially rocks, sediments, and soils	action of water | exogenic processes (such as water flow or wind)	gradual wearing away | transport | remove | deposited				one place | top of a mountain | upstream portion of a river	another | adjacent valley | downstream portion		
evaporation	substance | liquid state	increase in temperature and/or pressure	water cycle		gaseous state					
fertilization	soil	addition of organic material or fertilizer	making | applying | fertilizing		more productive of plant growth | enrichment of soil | production of crops | replace the nutrients					
freezing	liquid	temperature is lowered	phase transition		solid					
friction	surface	moving over another	resistance							
friction			rub		heat					
germinating	seeds or spores	increased metabolism	sprout | form		begin to grow | new tissue					
grafting	plant		joined	twig or bud	grow together					
gravity	matter | physical things | terrestrial bodies	natural force	move | gravitational energy | attraction		fall toward the center of the earth				towards each other	
hail	water	precipitation	hail | falls		rounded pellets of ice and hard snow					
harden	something		harden		make it hard					
help	plants		helps							
inertia	body | object	internal energies | change in its motion	inertia	state of rest or uniform motion						
inferring		reasoning from evidence	conclude | deduce							
inherit		genetic transmission | heredity	receive	trait | a genetic character			parent | ancestor			
