	ANSWER_CHOICE	A_DIRECTION	A_ENABLER	A_LOCATION	A_MEDIUM	A_RESULT	A_SOURCE	A_TARGET	A_THEME	A_TRIGGER	A_UNDERGOER	CORRECT_ANSWER	DIRECTION_SCORE	ENABLER_SCORE	LOCATION_SCORE	MEDIUM_SCORE	PREDICTED_ANSWER	PREDICTION	QUESTION	Q_DIRECTION	Q_ENABLER	Q_LOCATION	Q_MEDIUM	Q_RESULT	Q_SOURCE	Q_TARGET	Q_THEME	Q_TRIGGER	Q_UNDERGOER	RESULT_SCORE	SOURCE_SCORE	TARGET_SCORE	THEME_SCORE	TRIGGER_SCORE	UNDERGOER_SCORE
0	conduction		water | air							conducting	energy	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 					become hot					metal handle of the pot						0.0
1	conduction		materials							conduct	energy	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 					become hot					metal handle of the pot						0.0
2	conduction									conduction	water | mineral	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 					become hot					metal handle of the pot						0.0
3	conduction					transferred downward into the water				conduction	warmed surface water	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 					become hot					metal handle of the pot	0.0					0.0858466723065
4	conduction									direct transfer	heat	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 					become hot					metal handle of the pot						0.0
5	conduction		water | air							conducting	energy	conduction		0.0			combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 		a stove							heated	pot					0.0	0.0
6	conduction		materials							conduct	energy	conduction		0.0204081632653			combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 		a stove							heated	pot					0.0	0.0
7	conduction									conduction	water | mineral	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 		a stove							heated	pot					0.0	0.0
8	conduction					transferred downward into the water				conduction	warmed surface water	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 		a stove							heated	pot					0.0	0.0
9	conduction									direct transfer	heat	conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 		a stove							heated	pot					0.0005720001291880001	0.0
10	convection		movement of the air or water			heat removal				convection		conduction					combustion	False	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 					become hot					metal handle of the pot	0.0					
