	QUESTION	ANSWER_CHOICE	MEAN_SCORE	MAX_SCORE	MEDIAN_SCORE	CORRECT_ANSWER
0	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	conduction	0.0	0.0	0.0	conduction
1	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	convection	0.0	0.0	0.0	conduction
2	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	combustion	0.0	0.0	0.0	conduction
3	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	radiation	0.0	0.0	0.0	conduction
4	What starts the change from an igneous rock to a sedimentary rock? 	melting	0.0	0.0	0.0	weathering
5	What starts the change from an igneous rock to a sedimentary rock? 	weathering	0.0	0.0	0.0	weathering
6	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	condensation	0.0	0.0	0.0	evaporation
7	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	precipitation	0.0	0.0	0.0	evaporation
8	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	evaporation	0.0	0.0	0.0	evaporation
9	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "	mimicry	0.0	0.0	0.0	camouflage
10	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "	camouflage	0.0	0.0	0.0	camouflage
11	mowing the lawn 	physical change	0.0	0.0	0.0	physical change
12	mowing the lawn 	chemical change	0.0	0.0	0.0	physical change
13	The path Earth makes around the sun is called the 	rotation	0.0	0.0	0.0	orbit
14	The path Earth makes around the sun is called the 	orbit	0.0	0.0	0.0	orbit
15	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	evaporation	0.0	0.0	0.0	condensation
16	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	condensation	0.0	0.0	0.0	condensation
17	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	precipitation	0.0	0.0	0.0	condensation
18	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	transpiration	0.0	0.0	0.0	condensation
19	The continuous movement of nitrogen between air, soil, plants and animals. 	carbon cycle	0.0	0.0	0.0	nitrogen cycle
20	The continuous movement of nitrogen between air, soil, plants and animals. 	nitrogen cycle	0.0	0.0	0.0	nitrogen cycle
21	Andy is cooking a piece of ham in a pan. 	conduction	0.0	0.0	0.0	conduction
22	Andy is cooking a piece of ham in a pan. 	friction	0.0	0.0	0.0	conduction
23	What causes sunflowers to bend toward the sunlight? 	negative tropism	0.0	0.0	0.0	positive tropism
24	What causes sunflowers to bend toward the sunlight? 	transportation	0.0	0.0	0.0	positive tropism
25	What causes sunflowers to bend toward the sunlight? 	positive tropism	0.0	0.0	0.0	positive tropism
26	What causes sunflowers to bend toward the sunlight? 	pollination	0.0	0.0	0.0	positive tropism
27	"A liquid changing to a solid, A solid changing to a liquid, and a liquid changing into a gas are all examples of <span class=""blank""> </span> "	boiling	0.00149409756979	0.00149409756979	0.00149409756979	physical change
28	"A liquid changing to a solid, A solid changing to a liquid, and a liquid changing into a gas are all examples of <span class=""blank""> </span> "	physical change	0.0216	0.0216	0.0216	physical change
29	"A liquid changing to a solid, A solid changing to a liquid, and a liquid changing into a gas are all examples of <span class=""blank""> </span> "	evaporation	0.122195230975	0.122195230975	0.122195230975	physical change
30	Waves change a shoreline by erosion and __________. 	deposition	0.0216	0.0216	0.0216	deposition
31	Waves change a shoreline by erosion and __________. 	condensation	0.0	0.0	0.0	deposition
32	Waves change a shoreline by erosion and __________. 	precipitation	0.0	0.0	0.0	deposition
33	Waves change a shoreline by erosion and __________. 	evaporation	0.0216	0.0216	0.0216	deposition
34	"<span class=""blank""> </span>is the process of liquid water turning into water vapor. "	storage	0.0	0.0	0.0	evaporation
35	"<span class=""blank""> </span>is the process of liquid water turning into water vapor. "	condensation	0.0	0.0	0.0	evaporation
36	"<span class=""blank""> </span>is the process of liquid water turning into water vapor. "	precipitation	0.0	0.0	0.0	evaporation
37	"<span class=""blank""> </span>is the process of liquid water turning into water vapor. "	evaporation	0.0	0.0	0.0	evaporation
38	A new aluminum can made from used cans is an example of 	repairing	0.0	0.0	0.0	recycling
39	A new aluminum can made from used cans is an example of 	reducing	0.0	0.0	0.0	recycling
40	A new aluminum can made from used cans is an example of 	reusing	0.0	0.0	0.0	recycling
41	A new aluminum can made from used cans is an example of 	recycling	0.0	0.0	0.0	recycling
42	Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	metamorphosis	0.0	0.0	0.0	photosynthesis
43	Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	photosynthesis	0.0	0.0	0.0	photosynthesis
44	Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	pollination	0.0	0.0	0.0	photosynthesis
45	Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	reproduction	0.0	0.0	0.0	photosynthesis
46	Burning a match is a 	physical change	0.0	0.0	0.0	chemical change
47	Burning a match is a 	chemical change	0.0	0.0	0.0	chemical change
48	bleaching your hair 	physical change	0.0	0.0	0.0	chemical change
49	bleaching your hair 	chemical change	0.0	0.0	0.0	chemical change
50	A reaction that forms water and a salt is called a 	chemical reaction	0.0	0.0	0.0	neutralization reaction
51	A reaction that forms water and a salt is called a 	neutralization reaction	0.0	0.0	0.0	neutralization reaction
52	What is the force that slows down moving things? 	motion	0.0	0.0	0.0	friction
53	What is the force that slows down moving things? 	acceleration	0.0	0.0	0.0	friction
54	What is the force that slows down moving things? 	gravity	0.0	0.0	0.0	friction
55	What is the force that slows down moving things? 	friction	0.0	0.0	0.0	friction
56	"To move in a circle around an object is to <span class=""blank""> </span> "	revolve	0.0216	0.0216	0.0216	rotate
57	"To move in a circle around an object is to <span class=""blank""> </span> "	rotate	0.0216	0.0216	0.0216	rotate
58	"To move in a circle around an object is to <span class=""blank""> </span> "	eclipse	0.0	0.0	0.0	rotate
59	Which of the following is an unwanted change in the environment caused by harmful substances? 	overpopulation	0.0	0.0	0.0	pollution
60	Which of the following is an unwanted change in the environment caused by harmful substances? 	evolution	0.0	0.0	0.0	pollution
61	Which of the following is an unwanted change in the environment caused by harmful substances? 	pollution	0.0	0.0	0.0	pollution
62	"<span class=""blank""> </span> is the process of water vapor becoming liquid water when it cools. "	storage	0.0	0.0	0.0	condensation
63	"<span class=""blank""> </span> is the process of water vapor becoming liquid water when it cools. "	condensation	0.0	0.0	0.0	condensation
64	"<span class=""blank""> </span> is the process of water vapor becoming liquid water when it cools. "	precipitation	0.0	0.0	0.0	condensation
65	"<span class=""blank""> </span> is the process of water vapor becoming liquid water when it cools. "	evaporation	0.0	0.0	0.0	condensation
66	The process of cutting into a hillside to slow the speed of water flowing down a slope 	terracing	0.0	0.0	0.0	terracing
67	The process of cutting into a hillside to slow the speed of water flowing down a slope 	contour plowing	0.011914581463	0.011914581463	0.011914581463	terracing
68	The process of cutting into a hillside to slow the speed of water flowing down a slope 	windbreaking	0.0	0.0	0.0	terracing
69	The process of cutting into a hillside to slow the speed of water flowing down a slope 	fertilization	0.0	0.0	0.0	terracing
70	The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	strip farming	0.0	0.0	0.0	strip farming
71	The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	contour plowing	0.0	0.0	0.0	strip farming
72	The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	fertilization	0.0	0.0	0.0	strip farming
73	The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	crop rotation	0.0	0.0	0.0	strip farming
74	A characteristic of an organism that increases its chances of survival in its environment. 	adaptation	0.0	0.0	0.0	adaptation
75	A characteristic of an organism that increases its chances of survival in its environment. 	camouflage	0.0	0.0	0.0	adaptation
76	What is water vapor in the air called? 	evaporation	0.0	0.0	0.0	humidity
77	What is water vapor in the air called? 	respiration	0.0	0.0	0.0	humidity
78	What is water vapor in the air called? 	humidity	0.0	0.0	0.0	humidity
79	"Precipitation that falls in form of balls of ice is called <span class=""blank""> </span>. "	hail	0.153286977326	0.153286977326	0.153286977326	hail
80	"Precipitation that falls in form of balls of ice is called <span class=""blank""> </span>. "	rain	0.0216	0.0216	0.0216	hail
81	"Precipitation that falls in form of balls of ice is called <span class=""blank""> </span>. "	snow	0.120386625514	0.120386625514	0.120386625514	hail
82	"A/an <span class=""blank""> </span> is something that helps a living thing survive in its environment. "	adaptation	0.0	0.0	0.0	adaptation
83	"A/an <span class=""blank""> </span> is something that helps a living thing survive in its environment. "	physical change	0.0	0.0	0.0	adaptation
84	"A/an <span class=""blank""> </span> is something that helps a living thing survive in its environment. "	camouflage	0.0	0.0	0.0	adaptation
85	A long and strong beak that tears flesh is 	tearing	0.0	0.0	0.0	tearing
86	A long and strong beak that tears flesh is 	spearing	0.0	0.0	0.0	tearing
87	Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	measuring	0.0	0.0	0.0	measuring
88	Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	classifying	0.0	0.0	0.0	measuring
89	Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	predicting	0.0	0.0	0.0	measuring
90	Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	inferring	0.0	0.0	0.0	measuring
91	__________ is the movement of a group of one type of animal from one region to another and back again. 	hibernation	0.0216	0.0216	0.0216	migration
92	__________ is the movement of a group of one type of animal from one region to another and back again. 	migration	0.1656	0.1656	0.1656	migration
93	If a fire destroys a forest, new plants will grow. 	conservation	0.0	0.0	0.0	succession
94	If a fire destroys a forest, new plants will grow. 	erosion	0.0	0.0	0.0	succession
95	If a fire destroys a forest, new plants will grow. 	succession	0.0	0.0	0.0	succession
96	When liquids are heated, this occurs: 	melting	0.0	0.0	0.0	evaporation
97	When liquids are heated, this occurs: 	evaporation	0.0	0.0	0.0	evaporation
98	"Babies will <span class=""blank""> </span> or get traits from their parents. "	reproduce	0.0	0.0	0.0	inherit
99	"Babies will <span class=""blank""> </span> or get traits from their parents. "	survive	0.0	0.0	0.0	inherit
100	"Babies will <span class=""blank""> </span> or get traits from their parents. "	inherit	0.0	0.0	0.0	inherit
101	The movement of an animal from one place to another as the seasons change is called 	hibernation	0.1116	0.1116	0.1116	migration
102	The movement of an animal from one place to another as the seasons change is called 	decomposition	0.00953273632985	0.00953273632985	0.00953273632985	migration
103	The movement of an animal from one place to another as the seasons change is called 	migration	0.1656	0.1656	0.1656	migration
104	The movement of an animal from one place to another as the seasons change is called 	pollination	0.0	0.0	0.0	migration
105	"Magnets contain a force that <span class=""blank""> </span> certain metals like iron. "	attracts	0.0	0.0	0.0	attracts
106	"Magnets contain a force that <span class=""blank""> </span> certain metals like iron. "	increases	0.0	0.0	0.0	attracts
107	"Magnets contain a force that <span class=""blank""> </span> certain metals like iron. "	repels	0.0	0.0	0.0	attracts
108	What is the third step of the water cycle? 	evaporation	0.0	0.0	0.0	precipitation
109	What is the third step of the water cycle? 	run off	0.0	0.0	0.0	precipitation
110	What is the third step of the water cycle? 	precipitation	0.0	0.0	0.0	precipitation
111	What is the third step of the water cycle? 	condensation	0.0	0.0	0.0	precipitation
112	An area received six inches of snow during the winter. Before the snow can continue through the water cycle as ground water or runoff, it must first 	evaporate	0.0075992563767	0.0075992563767	0.0075992563767	melt
113	An area received six inches of snow during the winter. Before the snow can continue through the water cycle as ground water or runoff, it must first 	condense	0.00588458184591	0.00588458184591	0.00588458184591	melt
