eclipse	Moon	passes between Earth and Sun	eclipse of the sun			An eclipse of the Sun can only occur at New Moon when the Moon passes between Earth and Sun.
eclipse	earth	is in between the sun and moon	lunar eclipse			a lunar eclipse is when the earth is in between the sun and moon.
eclipse	moon	is between the sun and earth	solar eclipse			A solar eclipse is when the moon is between the sun and the earth.
eclipse	Moon		astronomical alignment	shadow		An astronomical alignment in which a planetary object (for example, the Moon) comes between the Sun and another planetary object (for example, the Earth), resulting in a shadow being cast by the middle object onto the other object.
eclipse	celestial body		obscuring			The partial or complete obscuring, relative to a designated observer, of one celestial body by another.
reflect | reflection	light from the Sun	moon	reflecting			Only the part of the moon that is reflecting the light from the Sun is changing.
reflect | reflection	something	light sound	reflects	goes in a different direction		If light or sound 'reflects' off something, it hits it and goes in a different direction.
reflect | reflection		surface	striking | falling	return throw off		To cause to return or to throw off after striking or falling on any surface, and in accordance with certain physical laws
reflect | reflection	light		throw | bend back			To throw or bend back (light, for example) from a surface
reflect | reflection	light	matter	reflected			When light interacts with matter, some of the light is transmitted, some is reflected, and some is absorbed.
osmosis	Plant roots		osmosis	uptake water	from the surrounding soil	Plant roots uptake water from the surrounding soil through osmosis.
osmosis	Roots		osmosis	absorb water	from the surrounding soil	Roots absorb water from the surrounding soil using the process of osmosis.
osmosis	Water		osmosis	taken into the plant	through roots	Water is taken into the plant through roots by osmosis and is carried through the stems to the leaves.
osmosis	Water		osmosis	enters plant cells from the environment		Water enters plant cells from the environment via osmosis.
osmosis	plant		osmosis	water gained		Any water gained by osmosis may help keep a plant cell rigid or turgid.
diffusion	energy	objects that are in physical contact	diffusion | transfer			Conduction or diffusion The transfer of energy between objects that are in physical contact.
diffusion	water		diffusion		into the blood	the diffusion of water into the blood.
diffusion	water from the lumen		diffuses		into the blood	The water from the lumen diffuses into the blood.
diffusion	Plants		diffusion	get rid of carbon dioxide and oxygen		Plants get rid of carbon dioxide and oxygen through diffusion.
diffusion	Oxygen from the water		diffuses		into the capillaries in the gills	Oxygen from the water diffuses into the capillaries in the gills.
breathe | breathing	us		breathe		oxygen	Plants need energy to give oxygen for us to breathe and animals need energy to search for more foods.
breathe | breathing	animals plants		breathe		oxygen	All animals and plants need oxygen to breathe.
breathe | breathing	Animals		breathe in oxygen		use it to extract energy from food	Animals breathe in oxygen and use it to extract energy from food.
breathe | breathing	plants		breathing			All the plants around you are breathing and releasing water, too.
breathe | breathing	Animals		take in air  | breathing			Animals take in air by breathing.
breathe | breathing	Humans		inhale | breathe	carbon dioxide	oxygen	Humans inhale (breathe in) oxygen and exhale (breathe out) carbon dioxide.
breathe | breathing		lungs	process | moves air in and out			Breathing is the process that moves air in and out of the lungs
