QUESTION	OPTIONS	OPTION_A	OPTION_B	OPTION_C	OPTION_D	QUESTION_PROCESS_NAME	ANSWER
A change in the way matter looks is called <span class="blank"> </span>? 	(A) chemical change (B) physical change (C) states of matter	chemical change	physical change			0	OPTION_B
A reaction that forms water and a salt is called a 	(A) chemical reaction (B) basic reaction (C) neutralization reaction	chemical reaction	neutralization reaction			0	OPTION_B
During <span class="blank"> </span>, autotrophs use light energy to convert carbon dioxide and water into oxygen and energy-rich carbohydrates such as sugars and starches. 	(A) chemosynthesis (B) photosynthesis (C) evaporation (D) nitrogen fixation	chemosynthesis	photosynthesis	evaporation	nitrogen fixation	0	OPTION_B
There is one more way to deal with our growing garbage problem. Leaves and grass clippings can be <span class="blank"> </span>or placed in a pile in the backyard. They will break down into soil and not have to be collected and take up space in our landfills. 	(A) composted (B) separated (C) processed (D) crushed	composted	separated	processed	crushed	0	OPTION_A
When a liquid changes to a gas it is called 	(A) condensation (B) melting point (C) evaporation (D) boiling point	condensation	evaporation			0	OPTION_B
When you leave a glass of water standing on the counter, water forms on the outside of the glass. This is an example of <span class="blank"> </span>. 	(A) condensation (B) a solid (C) evaporation (D) a liquid	condensation	evaporation			0	OPTION_A
The movement of water back and forth between air and the Earth's surface is called the<span class="blank"> </span>. 	(A) condensation (B) water cycle (C) evaporation	condensation	water cycle	evaporation		0	OPTION_B
The process by which a liquid changes to a gas 	(A) Condensation (B) Water cycle (C) Evaporation (D) wind vane	condensation	water cycle	evaporation		0	OPTION_C
The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	(A) contour plowing (B) terracing (C) crop rotation (D) fertilization	contour plowing	terracing	crop rotation	fertilization	0	OPTION_C
The process of cutting into a hillside to slow the speed of water flowing down a slope 	(A) contour plowing (B) terracing (C) windbreaking (D) fertilization	contour plowing	terracing	windbreaking	fertilization	0	OPTION_B
The process of adding fertilizer to soil to replace nutrients used up by previous crops 	(A) crop rotation (B) fertilization (C) strip farming (D) terracing	crop rotation	fertilization	strip farming	terracing	0	OPTION_B
Drinking lots of salt water can kill a person. The salt in the water moves to the cells, where there is very little salt. As the cells move the water to balance out the salt - so that the salt is equal on both sides - water moves OUT of the cell, and the cell dies. What causes this to happen? 	(A) Diffusion (B) Osmosis	diffusion	osmosis			0	OPTION_B
The final stage of the erosional process in which materials are dropped in another location is called <span class="blank"> </span>. 	(A) dropping (B) deposit (C) deposition	dropping	deposit	deposition		0	OPTION_C
A species that no longer exists. 	(A) endangered (B) habitat (C) extinction (D) classify	extinction	classify			0	OPTION_A
Which is the best example of natureâ??s recycling process? 	(A) Erosion (B) The Food Chain (C) Weathering (D) The Water Cycle	erosion	weathering	the water cycle		0	OPTION_C
The process of wearing away rocks by natural means is called 	(A) erosion (B) weathering (C) faults (D) earthquakes	erosion	weathering			0	OPTION_B
The process of moving sediment by wind, moving water, or ice is 	(A) erosion (B) weathering (C) earthquakes (D) faults	erosion	weathering			0	OPTION_A
What is the process that moves pieces of rock and soil? 	(A) erosion (B) delta (C) mudslide (D) weathering	erosion	weathering			0	OPTION_A
The process of breaking down rocks into smaller particles is called: 	(A) erosion (B) weathering (C) sedimentation	erosion	weathering	sedimentation		0	OPTION_B
Then droplets of water (rain, snow, sleet, or hail) fall back to the earth, this is called: 	(A) Evaporation (B) Condensation (C) Precipitation	evaporation	condensation	precipitation		0	OPTION_C
When liquids are heated, this occurs: 	(A) temperature (B) evaporation (C) particle (D) melting	evaporation	melting			0	OPTION_A
The process by which a gas changes into a liquid is called <span class="blank"> </span>. 	(A) evaporation (B) precipitation (C) condensation (D) transpiration	evaporation	precipitation	condensation	transpiration	0	OPTION_C
What is the third step of the water cycle? 	(A) evaporation (B) precipitation (C) run off (D) condensation	evaporation	precipitation	run off	condensation	0	OPTION_B
What is water vapor in the air called? 	(A) Humidifier (B) Evaporation (C) Humidity (D) Respiration	evaporation	humidity	respiration		0	OPTION_B
The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	(A) fertilization (B) crop rotation (C) contour plowing (D) strip farming	fertilization	crop rotation	contour plowing	strip farming	0	OPTION_D
Bees help flowers reproduces through a process called 	(A) fertilization (B) phototropism (C) transpiration (D) pollination	fertilization	phototropism	transpiration	pollination	0	OPTION_D
Mixtures can be separated by all of the following means except which one? 	(A) Filtering (B) Evaporation (C) Boiling (D) Mechanical	filtering	evaporation	boiling		0	OPTION_C
When you rub your hands together very quickly, it produces heat and is called 	(A) force (B) temperature (C) friction (D) gravity	friction	gravity			0	OPTION_A
A change in an object's position is called: 	(A) force (B) motion (C) pulling (D) velocity	motion	pulling			0	OPTION_A
