absorb | absorption	plants	their roots systems	absorb water and the nutrients from the water			Plants absorb water and the nutrients from the water via their roots systems.
absorb | absorption	plant	the roots	absorbs the water			The part of the plant that absorbs the water is the roots.
absorb | absorption	plants		absorb		water	Plants need much more water than animals because they lose most of the water they absorb.
absorb | absorption	plants		absorb		water	Plants only absorb as much water as they need.
absorb | absorption	plants		absorbing light energy	obtain energy		Plants obtain energy by absorbing light energy.
acceleration	object	Earth	acceleration			Earth always produces the same acceleration on every object.
acceleration	bicycle	cyclist uses chemical energy provided by food	accelerate	to a chosen speed		For example, a cyclist uses chemical energy provided by food to accelerate a bicycle to a chosen speed.
acceleration	objects		acceleration			The change in an objects velocity is called acceleration.
acceleration	object		accelerates	velocity is changing		When an object accelerates its velocity is changing.
acceleration	moving object		acceleration	change in the speed or direction		A change in the speed or direction of a moving object is called acceleration.
accumulation	water droplets	condensed from vapor-saturated air	accumulations	clouds		Clouds are accumulations of water droplets, condensed from vapor-saturated air.
accumulation	land plants		accumulate		carbon	As land plants grow, they accumulate more and more carbon.
accumulation			gradual accumulation of small changes	large changes	over long periods of time	large changes are the result of the gradual accumulation of small changes over long periods of time.
accumulation	flowing water		accumulates		into larger depressions on the ground surface	Flowing water accumulates into larger depressions on the ground surface.
accumulation			accumulation | bringing things together			Accumulation is the process of bringing things together.
adaptation	animals	live in their environment	adaptation	features		The adaptation of animals are the features an animal has to live in their environment.
adaptation	animals | plants	conditions of the habitats in which they live	adapted			Animals and plants are adapted to the conditions of the habitats in which they live.
adaptation	plants | animals	changes in the environment	adapted			Plants and animals have adapted to changes in the environment for millions of years.
adaptation	plants		adapt			Even well watered plants may wilt if the plant cannot adapt it transpiration rate.
adaptation	organism		inherited characteristic	survival		Inherited characteristic of an organism that enhances its survival and reproduction in specific environments.
asexual reproduction			agamogenesis | reproduction		without the fusion of gametes	A more stringent definition is agamogenesis which is reproduction without the fusion of gametes
asexual reproduction	single-celled organisms such as the archaea, bacteria, and protists		reproduction			Asexual reproduction is the primary form of reproduction for single-celled organisms such as the archaea, bacteria, and protists
asexual reproduction	single organism		reproduction	offspring arise | inherit the genes of that parent only		Asexual reproduction is a mode of reproduction by which offspring arise from a single organism, and inherit the genes of that parent only
asexual reproduction	single parent		reproduction	offspring that are all genetically identical to the parent		reproduction that involves a single parent and results in offspring that are all genetically identical to the parent
asexual reproduction	single parent			offspring	occurs without the fusion of gametes	The generation of offspring from a single parent that occurs without the fusion of gametes (by budding, division of a single cell, or division of the entire organism into two or more parts).
attracts	water molecules	water vapor is cooled	attractions	condense and become liquid water		Students learned that when water vapor is cooled, attractions between water molecules cause them to condense and become liquid water.
attracts	plants	perfume their blooms	attract the insects and other animals	pollinate their flowers		Plants perfume their blooms to attract the insects and other animals they need to pollinate their flowers.
attracts	molecules	molecules in the liquid	attracted			Some molecules of water vapor contact the liquid water and are attracted by the molecules in the liquid.
attracts	water molecules		mutual attraction		water is in liquid phase	Most of the water is in the liquid phase, where it is held by the mutual attraction of water molecules.
attracts		something of interest	cause to come to a place			cause to come to a place or participate in a venture by offering something of interest
Blinking	eyelid		closing 			Blinking is a semi-autonomic rapid closing of the eyelid.
Blinking	eye		spread tears	remove irritants		It is an essential function of the eye that helps spread tears across and remove irritants from the surface of the cornea and conjunctiva.
Blinking	eyes	tears and a lubricant	irrigation	moisture to the eye		Blinking provides moisture to the eye by irrigation using tears and a lubricant the eyes secrete.
Blinking	eye		open and close		involuntarily	to open and close the eye, especially involuntarily
Blinking	we		blink	moisten | oxygenate the cornea	automatically	We automatically blink 10 to 15 times a minute to moisten and oxygenate the cornea
boiling	water	transfer of energy through movement	boiling			Convection is the transfer of energy through movement, such as boiling water.
boiling	water	temperatures above the boiling point		steam | water vapor		Steam is water vapor that is at temperatures above the boiling point of water.
boiling	water	large amounts of energy		change the state of water		The large amounts of energy required to change the state of water apply to both melting ice and boiling water.
boiling	water		boiling	bubbles		The bubbles seen when boiling water is not a chemical change.
boiling	water		phase change | boiling			Phase change examples are the melting of ice or the boiling of water.
breathe | breathing	us		breathe		oxygen	Plants need energy to give oxygen for us to breathe and animals need energy to search for more foods.
breathe | breathing	animals | plants		breathe		oxygen	All animals and plants need oxygen to breathe.
breathe | breathing	animals		breathe in oxygen		use it to extract energy from food	Animals breathe in oxygen and use it to extract energy from food.
breathe | breathing	plants		breathing			All the plants around you are breathing and releasing water, too.
breathe | breathing	animals		take in air  | breathing			Animals take in air by breathing.
