QUESTION	UNDERGOER	ENABLER	TRIGGER	RESULT	UNDERSPECIFIED	CLEANED_QUESTION
When one object passes through the shadow of another it is a? 			passes through the shadow of another			When one object passes through the shadow of another it is a? 
How does your body acquire the oxygen the cells in your body need to function? 	body		acquire	oxygen the cells in your body need to function		How does your body acquire the oxygen the cells in your body need to function? 
As water vapor rises in the atmosphere, it cools and changes back to liquid.	water vapor		cools and changes	liquid	rises in the atmosphere	As water vapor rises in the atmosphere, it cools and changes back to liquid.
Tiny drops of liquid form clouds in this process called	tiny drops of liquid		form | process	clouds		Tiny drops of liquid form clouds in this process called
The process in which something changes from a gas state to a liquid state 	gas state		process | changes	liquid state		The process in which something changes from a gas state to a liquid state 
Liquid water becomes a gas called water vapor through the process of <span class="blank"> </span> 	liquid water		process | becomes	gas | water vapor		Liquid water becomes a gas called water vapor through the process of  
<span class="blank"> </span> refers to the movement of Earth around the sun. 	Earth		movement		around the sun	 refers to the movement of Earth around the sun. 
The process in which a snake loses its outer skin is called <span class="blank"> </span>. 	snake		process	loses its outer skin		The process in which a snake loses its outer skin is called . 
The continuous transfer of carbon between the atmosphere and organisms 	carbon		continuous transfer		between the atmoshpere and organisms	The continuous transfer of carbon between the atmosphere and organisms 
What is the process of the movement of water and dissolved materials through the cell membrane? 	water | dissolved materials		process | movement	through the cell membrane		What is the process of the movement of water and dissolved materials through the cell membrane? 
The continuous movement of nitrogen between air, soil, plants and animals. 	nitrogen		continuous movement		between air, soil, plants and animals	The continuous movement of nitrogen between air, soil, plants and animals. 
What make oceans bigger? 	oceans		make	bigger		What make oceans bigger? 
A giraffe's long neck is a(n) 	giraffe's long neck					A giraffe's long neck is a(n) 
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 	living thing		helps	survive in its environment		A/an  is something that helps a living thing survive in its environment. 
The process of making a new plant from the joining of a sperm and a egg cell is known as 		joining of a sperm and a egg cell	process	making a new plant		The process of making a new plant from the joining of a sperm and a egg cell is known as 
Offspring come from a single parent during <span class="blank"> </span>. 	single parent		come from	offspring		Offspring come from a single parent during . 
Which of the following is an unwanted change in the environment caused by harmful substances? 		harmful substances		unwanted change in the environment		Which of the following is an unwanted change in the environment caused by harmful substances? 
Colors, patterns and shapes that disguise an animal from predators. 	animal	colors, patterns and shapes	disguise		from predators	Colors, patterns and shapes that disguise an animal from predators. 
If a snake copies another snake it is called 	snake		copies another snake			If a snake copies another snake it is called 
A(n) <span class="blank"> </span> is a modified feature that helps a plant survive in the environment. 	plant	modified feature		survive in the environment		A(n)  is a modified feature that helps a plant survive in the environment. 
Select whether the example is a chemical change or a physical change<br/><br/>Glass breaking 	glass		breaking	separate pieces		Select whether the example is a chemical change or a physical change Glass breaking 
Is burning a chemical change or physical change? 			burning			Is burning a chemical change or physical change? 
spoiling food 	food		spoiling			spoiling food 
squeezing oranges to make orange juice 	oranges		squeezing	orange juice		squeezing oranges to make orange juice 
mixing lemonade powder into water 	lemonade powder		mixing | into water			mixing lemonade powder into water 
mowing the lawn 	lawn		mowing			mowing the lawn 
bleaching your hair 	hair	sunlight | chemical process	bleaching			bleaching your hair 
fireworks exploding 	fireworks	combustion | pressure | decomposition	exploding			fireworks exploding 
corroding metal 	metal		corroding			corroding metal 
Burning a match is a 	match		burning			Burning a match is a 
A change in the way matter looks is called <span class="blank"> </span>? 	matter		change			A change in the way matter looks is called ? 
A reaction that forms water and a salt is called a 			reaction 	water and a salt		A reaction that forms water and a salt is called a 
During <span class="blank"> </span>, autotrophs use light energy to convert carbon dioxide and water into oxygen and energy-rich carbohydrates such as sugars and starches. 	autotrophs	light energy	convert	oxygen and energy-rich carbohydrates such as sugars and starches		During , autotrophs use light energy to convert carbon dioxide and water into oxygen and energy-rich carbohydrates such as sugars and starches. 
There is one more way to deal with our growing garbage problem.			growing garbage problem			There is one more way to deal with our growing garbage problem.
