	QUESTION	QUESTION UNDERGOER	QUESTION ENABLER	QUESTION TRIGGER	QUESTION RESULT	QUESTION UNDERSPECIFIED	ANSWER CHOICE	ANSWER SENTENCE	ANSWER UNDERGOER	ANSWER ENABLER	ANSWER TRIGGER	ANSWER RESULT	ANSWER UNDERSPECIFIED	UNDERGOER SCORE	ENABLER SCORE	TRIGGER SCORE	RESULT SCORE	UNDERSPECIFIED SCORE	CORRECT ANSWER	PREDICTED ANSWER	PREDICTION
0	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						conduction	Students should realize that water is better than air at conducting energy.											conduction	conduction	True
1	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						conduction	Some materials conduct energy better than others.											conduction	conduction	True
2	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						conduction	Root functions include water and mineral conduction, food and water storage, and anchorage.											conduction	conduction	True
3	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						conduction	The warmed surface water is then transferred downward into the water column by conduction and convection.	warmed surface water		convection	transferred downward into the water column							conduction	conduction	True
4	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						conduction	The direct transfer of thermal motion (heat) between molecules of objects in direct contact with each other.	heat	motion|molecules|objects|contact	transfer								conduction	conduction	True
5	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						conduction	Students should realize that water is better than air at conducting energy.											conduction	conduction	True
6	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						conduction	Some materials conduct energy better than others.											conduction	conduction	True
7	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						conduction	Root functions include water and mineral conduction, food and water storage, and anchorage.											conduction	conduction	True
8	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						conduction	The warmed surface water is then transferred downward into the water column by conduction and convection.	warmed surface water		convection	transferred downward into the water column							conduction	conduction	True
9	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						conduction	The direct transfer of thermal motion (heat) between molecules of objects in direct contact with each other.	heat	motion|molecules|objects|contact	transfer								conduction	conduction	True
10	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						convection	The greater the movement of the air or water the greater the rate of heat removal by convection.	water		convection	movement|heat							conduction	conduction	True
11	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						convection	Water vapor in the air rises mostly by convection.			convection	Water vapor							conduction	conduction	True
12	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						convection	The warmed surface water is then transferred downward into the water column by conduction and convection.	warmed surface water		convection	transferred downward into the water column							conduction	conduction	True
13	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						convection	Heat was transferred from the flame of the stove to the water by convection.	Heat		convection	transferred|water	from the flame of the stove						conduction	conduction	True
14	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						convection	The particles move around from one place to another through the flow of thermal energy during convection.	particles	thermal	move		flow of thermal energy						conduction	conduction	True
15	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						convection	The greater the movement of the air or water the greater the rate of heat removal by convection.	water		convection	movement|heat							conduction	conduction	True
16	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						convection	Water vapor in the air rises mostly by convection.			convection	Water vapor							conduction	conduction	True
17	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						convection	The warmed surface water is then transferred downward into the water column by conduction and convection.	warmed surface water		convection	transferred downward into the water column							conduction	conduction	True
18	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						convection	Heat was transferred from the flame of the stove to the water by convection.	Heat		convection	transferred|water	from the flame of the stove						conduction	conduction	True
19	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						convection	The particles move around from one place to another through the flow of thermal energy during convection.	particles	thermal	move		flow of thermal energy						conduction	conduction	True
20	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						combustion	Chemical energy, the type of energy found in food and fuels, is changed into heat energy by combustion (burning).											conduction	conduction	True
21	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						combustion	Water may also be returned to the atmosphere through the combustion of plants in fossil fuel.											conduction	conduction	True
22	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						combustion	Fossil fuels provide energy via combustion and in the process release emissions that are toxic to animals and plants.	fuels|process release emissions|animals|plants		combustion	toxic							conduction	conduction	True
23	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						combustion	An internal combustion engine is a heat engine that obtains mechanical energy from chemical energy by burning fuel.											conduction	conduction	True
24	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						combustion	In reality alternative energy means anything other than deriving energy via fossil fuel combustion.											conduction	conduction	True
25	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						combustion	Chemical energy, the type of energy found in food and fuels, is changed into heat energy by combustion (burning).											conduction	conduction	True
26	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						combustion	Water may also be returned to the atmosphere through the combustion of plants in fossil fuel.											conduction	conduction	True
27	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						combustion	Fossil fuels provide energy via combustion and in the process release emissions that are toxic to animals and plants.	fuels|process release emissions|animals|plants		combustion	toxic							conduction	conduction	True
28	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						combustion	An internal combustion engine is a heat engine that obtains mechanical energy from chemical energy by burning fuel.											conduction	conduction	True
29	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						combustion	In reality alternative energy means anything other than deriving energy via fossil fuel combustion.											conduction	conduction	True
30	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						radiation	diverge or spread from or as if from a central point.											conduction	conduction	True
31	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						radiation	emit (energy, especially light or heat) in the form of rays or waves.											conduction	conduction	True
32	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						radiation	radiation is the emission or transmission of energy in the form of waves or particles through space or through a material medium											conduction	conduction	True
33	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						radiation	the complete process in which energy is emitted by one body, transmitted through an intervening medium or space, and absorbed by another body.		space	process	body|medium|body							conduction	conduction	True
34	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						radiation	the process in which energy is emitted as particles or waves.											conduction	conduction	True
35	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						radiation	diverge or spread from or as if from a central point.											conduction	conduction	True
36	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						radiation	emit (energy, especially light or heat) in the form of rays or waves.											conduction	conduction	True
37	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						radiation	radiation is the emission or transmission of energy in the form of waves or particles through space or through a material medium											conduction	conduction	True
38	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						radiation	the complete process in which energy is emitted by one body, transmitted through an intervening medium or space, and absorbed by another body.		space	process	body|medium|body							conduction	conduction	True
39	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 						radiation	the process in which energy is emitted as particles or waves.											conduction	conduction	True
40	What starts the change from an igneous rock to a sedimentary rock? 						melting	Melting is the opposite of freezing and involves changing water from its solid state (ice) to a liquid state by the addition of heat.											weathering	melting	False
41	What starts the change from an igneous rock to a sedimentary rock? 						melting	Melting of ice is a physical change, not a chemical change.											weathering	melting	False
42	What starts the change from an igneous rock to a sedimentary rock? 						melting	the process whereby heat changes something from a solid to a liquid											weathering	melting	False
43	What starts the change from an igneous rock to a sedimentary rock? 						melting	Melting is a physical process that results in the phase transition of a substance from a solid to a liquid.	solid|liquid		Melting								weathering	melting	False
44	What starts the change from an igneous rock to a sedimentary rock? 						melting	When a solid reaches the temperature of its melting point, it can become a liquid.											weathering	melting	False
45	What starts the change from an igneous rock to a sedimentary rock? 						melting	The thermal energy of the water increases as it melts, changing from a solid (ice) to liquid water.			changing	solid|ice|water							weathering	melting	False
46	What starts the change from an igneous rock to a sedimentary rock? 						melting	The process by which water vapor changes to liquid water is called A. melting.											weathering	melting	False
47	What starts the change from an igneous rock to a sedimentary rock? 						melting	The melting point of water is the temperature at which it changes from solid ice into liquid water.											weathering	melting	False
48	What starts the change from an igneous rock to a sedimentary rock? 						melting	Ice melting into water is a physical change.											weathering	melting	False
