chemical change | chemical reaction	organism		change			A change at the molecular, atomic or subcellular level in an organism.
chemical change | chemical reaction	one or more substances		converted	other substances		A chemical reaction is a process in which one or more substances are converted into other substances.
chemical change | chemical reaction	substance		combines | synthesis | decomposes	new substance two or more different substances		Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances
chemical change | chemical reaction			chemical reactions | chemical change		products	Chemical reactions are usually characterized by a chemical change, and they yield one or more products, which usually have properties different from the reactants
chemical change | chemical reaction		heat light electricity	chemical reactions			Chemical reactions can be either spontaneous, requiring no input of energy, or non-spontaneous, typically following the input of some type of energy, such as heat, light or electricity
physical change	molecule object wave system		change			A change in the physical state of a molecule, object, wave or system.
physical change			physical change	change in physical properties		A physical change involves a change in physical properties
physical change	objects substances		physical changes			Physical changes occur when objects or substances undergo a change that does not change their chemical composition
physical change			physical changes	separate mixtures		Physical changes are used to separate mixtures into their component compounds, but can not usually be used to separate compounds into chemical elements or simpler compounds.
physical change	chemical substance		physical changes			Physical changes are changes affecting the form of a chemical substance, but not its chemical composition.
chemical change | chemical reaction	organism		change			A change at the molecular, atomic or subcellular level in an organism.
chemical change | chemical reaction	one or more substances		converted	other substances		A chemical reaction is a process in which one or more substances are converted into other substances.
chemical change | chemical reaction	substance		combines | synthesis | decomposes	new substance two or more different substances		Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances
chemical change | chemical reaction			chemical reactions | chemical change		products	Chemical reactions are usually characterized by a chemical change, and they yield one or more products, which usually have properties different from the reactants
chemical change | chemical reaction		heat light electricity	chemical reactions			Chemical reactions can be either spontaneous, requiring no input of energy, or non-spontaneous, typically following the input of some type of energy, such as heat, light or electricity
neutralization reaction	acid		neutralization			A salt is any compound which can be derived from the neutralization of an acid and a base
neutralization reaction			neutralize			When an acid and a base are placed together, they react to neutralize the acid and base properties, producing a salt
chemosynthesis			chemosynthesis	an energy		Bacteria instead use sulfur compounds as an energy source, via chemosynthesis.
chemosynthesis	organism food	photosynthesis chemosynthesis	synthesize | photosynthesis | chemosynthesis	plant		A plant is an organism that can synthesize its own food through photosynthesis or chemosynthesis.
chemosynthesis		food a process chemosynthesis than photosynthesis	produce | chemosynthesis			Some rare autotrophs produce food through a process called chemosynthesis, rather than through photosynthesis.
chemosynthesis			make | chemosynthesis			Photosynthesis and chemosynthesis are similar in that they both make glucose.
