	QUESTION	ANSWER_CHOICE	MEAN_SCORE	MAX_SCORE	MEDIAN_SCORE	CORRECT_ANSWER
0	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	conduction	0.5318911512759795	1.124865331767	0.501063636603865	conduction
1	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	convection	1.042960153916635	1.100236343346	1.0343978519282	conduction
2	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	combustion	0.2785612724405	0.36	0.36	conduction
3	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	radiation	0.5148068707725999	1.0	0.41153435386299997	conduction
4	What starts the change from an igneous rock to a sedimentary rock? 	melting	0.8612214216351111	1.2742382271469999	1.0	weathering
5	What starts the change from an igneous rock to a sedimentary rock? 	weathering	0.6134698761648	1.5	0.379849380824	weathering
6	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	condensation	0.8463433921096835	1.0	1.0	evaporation
7	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	precipitation	1.0	1.0	1.0	evaporation
8	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	evaporation	1.3508895072462312	2.0584863057942	1.2214089407155	evaporation
9	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "	mimicry	0.0	0.0	0.0	camouflage
10	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "	camouflage	0.0	0.0	0.0	camouflage
11	mowing the lawn 	physical change	0.0	0.0	0.0	physical change
12	mowing the lawn 	chemical change	0.0	0.0	0.0	physical change
13	The path Earth makes around the sun is called the 	rotation	0.00014135772917385	0.00026858949512700007	0.00014135772917385004	orbit
14	The path Earth makes around the sun is called the 	orbit	0.41879758562698	1.0	0.417347381443	orbit
15	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	evaporation	0.7644887281264556	1.0996663611526	0.848218762884	condensation
16	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	condensation	1.2816405956866501	2.507175092766	1.3227377847395498	condensation
17	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	precipitation	0.212114300691844	0.87921859114	0.053392521503	condensation
18	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	transpiration	0.4720217526171	0.6684247026071001	0.507175092766	condensation
19	The continuous movement of nitrogen between air, soil, plants and animals. 	carbon cycle	1.0	1.0	1.0	nitrogen cycle
20	The continuous movement of nitrogen between air, soil, plants and animals. 	nitrogen cycle	0.8280526501800799	1.00390625	1.00374204269024	nitrogen cycle
21	Andy is cooking a piece of ham in a pan. 	conduction	0.0	0.0	0.0	conduction
22	Andy is cooking a piece of ham in a pan. 	friction	0.028941673318373332	0.04	0.04	conduction
23	What causes sunflowers to bend toward the sunlight? 	negative tropism	0.007341702795225	0.0123456790123	0.007341702795225	positive tropism
24	What causes sunflowers to bend toward the sunlight? 	transportation	0.0	0.0	0.0	positive tropism
25	What causes sunflowers to bend toward the sunlight? 	positive tropism	0.0	0.0	0.0	positive tropism
26	What causes sunflowers to bend toward the sunlight? 	pollination	0.0	0.0	0.0	positive tropism
27	"A liquid changing to a solid, A solid changing to a liquid, and a liquid changing into a gas are all examples of <span class=""blank""> </span> "	boiling	0.49365035045306666	1.0691711837864	0.2058899337864	physical change
28	"A liquid changing to a solid, A solid changing to a liquid, and a liquid changing into a gas are all examples of <span class=""blank""> </span> "	physical change	1.09211723184936	1.38840165778	1.0	physical change
29	"A liquid changing to a solid, A solid changing to a liquid, and a liquid changing into a gas are all examples of <span class=""blank""> </span> "	evaporation	1.5132888597994731	3.0	1.56735191629065	physical change
30	Waves change a shoreline by erosion and __________. 	deposition	0.20954938075975	0.32459205936999996	0.20200633327450002	deposition
31	Waves change a shoreline by erosion and __________. 	condensation	0.0	0.0	0.0	deposition
32	Waves change a shoreline by erosion and __________. 	precipitation	0.0	0.0	0.0	deposition
33	Waves change a shoreline by erosion and __________. 	evaporation	0.11277873989912668	0.16495687127800002	0.16495687127800002	deposition
34	"<span class=""blank""> </span>is the process of liquid water turning into water vapor. "	storage	0.6728650137741	1.0	1.0	evaporation
35	"<span class=""blank""> </span>is the process of liquid water turning into water vapor. "	condensation	1.5274864415364995	2.0	1.4382521976344984	evaporation
36	"<span class=""blank""> </span>is the process of liquid water turning into water vapor. "	precipitation	0.9814694544807999	1.2591389892529998	1.0555555555554998	evaporation
37	"<span class=""blank""> </span>is the process of liquid water turning into water vapor. "	evaporation	1.866867649606394	3.0	2.0	evaporation
38	A new aluminum can made from used cans is an example of 	repairing	0.08910153662810001	0.08910153662810001	0.08910153662810001	recycling
39	A new aluminum can made from used cans is an example of 	reducing	0.0007017236086139999	0.0007017236086139999	0.0007017236086139999	recycling
40	A new aluminum can made from used cans is an example of 	reusing	0.0	0.0	0.0	recycling
41	A new aluminum can made from used cans is an example of 	recycling	0.0	0.0	0.0	recycling
42	Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	metamorphosis	0.6249158380815	1.0	0.6942761206075	photosynthesis
43	Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	photosynthesis	1.0277723753198	1.138861876599	1.0	photosynthesis
44	Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	pollination	0.0	0.0	0.0	photosynthesis
45	Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	reproduction	0.5331767573463926	1.1111442543169998	0.393169383983	photosynthesis
46	Burning a match is a 	physical change	0.03144033914556	0.0673675526626	0.012044115333399998	chemical change
47	Burning a match is a 	chemical change	0.01750105288542	0.0295014880952	0.01750105288542	chemical change
