QUESTION	Q_UNDERGOER	Q_ENABLER	Q_TRIGGER	Q_RESULT	Q_UNDERSPECIFIED	ANSWER_CHOICE	ANSWER_SENTENCE	A_UNDERGOER	A_ENABLER	A_TRIGGER	A_RESULT	A_UNDERSPECIFIED	UNDERGOER_SCORE	ENABLER_SCORE	TRIGGER_SCORE	RESULT_SCORE	UNDERSPECIFIED_SCORE	CORRECT_ANSWER
When one object passes through the shadow of another it is a? 	one object		passes			eclipse	An eclipse of the Sun can only occur at New Moon when the Moon passes between Earth and Sun.	Moon	Sun|New Moon|passes between Earth and Sun	eclipse			0.1316498778	nan	0	nan	nan	eclipse
When one object passes through the shadow of another it is a? 	one object		passes			eclipse	a lunar eclipse is when the earth is in between the sun and moon.						0	nan	0	nan	nan	eclipse
When one object passes through the shadow of another it is a? 	one object		passes			eclipse	A solar eclipse is when the moon is between the sun and the earth.						0	nan	0	nan	nan	eclipse
When one object passes through the shadow of another it is a? 	one object		passes			eclipse	An astronomical alignment in which a planetary object (for example, the Moon) comes between the Sun and another planetary object (for example, the Earth), resulting in a shadow being cast by the middle object onto the other object.						0	nan	0	nan	nan	eclipse
When one object passes through the shadow of another it is a? 	one object		passes			eclipse	The partial or complete obscuring, relative to a designated observer, of one celestial body by another.						0	nan	0	nan	nan	eclipse
When one object passes through the shadow of another it is a? 	one object		passes			reflection	Only the part of the moon that is reflecting the light from the Sun is changing.	part|reflecting		changing			0.00490837194768	nan	0.00145843330296	nan	nan	eclipse
When one object passes through the shadow of another it is a? 	one object		passes			reflection	If light or sound 'reflects' off something, it hits it and goes in a different direction.			reflects	different direction		0	nan	0	nan	nan	eclipse
When one object passes through the shadow of another it is a? 	one object		passes			reflection	To cause to return or to throw off after striking or falling on any surface, and in accordance with certain physical laws			falling			0	nan	0.0014382709099	nan	nan	eclipse
When one object passes through the shadow of another it is a? 	one object		passes			reflection	To throw or bend back (light, for example) from a surface			throw			0	nan	0.000301930739245	nan	nan	eclipse
When one object passes through the shadow of another it is a? 	one object		passes			reflection	When light interacts with matter, some of the light is transmitted, some is reflected, and some is absorbed.						0	nan	0	nan	nan	eclipse
How does your body acquire the oxygen the cells in your body need to function? 						diffusion	Conduction or diffusion The transfer of energy between objects that are in physical contact.						nan	nan	nan	nan	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 						diffusion	the diffusion of water into the blood.	water	the blood	diffusion		into the blood	nan	nan	nan	nan	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 						diffusion	The water from the lumen diffuses into the blood.	water|lumen		diffuses		into the blood	nan	nan	nan	nan	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 						diffusion	Plants get rid of carbon dioxide and oxygen through diffusion.	Plants|carbon		diffusion			nan	nan	nan	nan	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 						diffusion	Oxygen from the water diffuses into the capillaries in the gills.	Oxygen|water	capillaries	diffuses	gills	into the capillaries in the gills	nan	nan	nan	nan	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 						absorption	Plants absorb water and the nutrients from the water via their roots systems.	Plants	water|roots	absorb			nan	nan	nan	nan	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 						absorption	The part of the plant that absorbs the water is the roots.						nan	nan	nan	nan	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 						absorption	Plants need much more water than animals because they lose most of the water they absorb.					water	nan	nan	nan	nan	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 						absorption	Plants only absorb as much water as they need.					water	nan	nan	nan	nan	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 						absorption	Plants obtain energy by absorbing light energy.						nan	nan	nan	nan	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 						breathing	Plants need energy to give oxygen for us to breathe and animals need energy to search for more foods.					oxygen	nan	nan	nan	nan	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 						breathing	All animals and plants need oxygen to breathe.					oxygen	nan	nan	nan	nan	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 						breathing	Animals breathe in oxygen and use it to extract energy from food.	Animals		breathe		use it to extract energy from food	nan	nan	nan	nan	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 						breathing	All the plants around you are breathing and releasing water, too.	plants		breathing			nan	nan	nan	nan	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 						breathing	Animals take in air by breathing.	Animals		take			nan	nan	nan	nan	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 						breathing	Humans inhale (breathe in) oxygen and exhale (breathe out) carbon dioxide.	Humans		inhale|breathe	dioxide	oxygen	nan	nan	nan	nan	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 						breathing	Breathing is the process that moves air in and out of the lungs						nan	nan	nan	nan	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 						breathing	The process of respiration, during which air is inhaled into the lungs through the mouth or nose due to muscle contraction and then exhaled due to muscle relaxation.						nan	nan	nan	nan	nan	breathing
How does your body acquire the oxygen the cells in your body need to function? 						breathing	A fish breathes by taking water into its mouth and forcing it out through the gill passages						nan	nan	nan	nan	nan	breathing
