absorb | absorption	Plants	water|roots	absorb			Plants absorb water and the nutrients from the water via their roots systems.
absorb | absorption						The part of the plant that absorbs the water is the roots.
absorb | absorption					water	Plants need much more water than animals because they lose most of the water they absorb.
absorb | absorption					water	Plants only absorb as much water as they need.
absorb | absorption						Plants obtain energy by absorbing light energy.
acceleration						Earth always produces the same acceleration on every object.
acceleration						For example, a cyclist uses chemical energy provided by food to accelerate a bicycle to a chosen speed.
acceleration	objects		acceleration	change|velocity		The change in an objects velocity is called acceleration.
acceleration	object		changing			When an object accelerates its velocity is changing.
acceleration			acceleration			A change in the speed or direction of a moving object is called acceleration.
accumulation						Clouds are accumulations of water droplets, condensed from vapor-saturated air.
accumulation					carbon	As land plants grow, they accumulate more and more carbon.
accumulation					over long periods of time	large changes are the result of the gradual accumulation of small changes over long periods of time.
accumulation	Flowing water	depressions	accumulates		into larger depressions on the ground surface	Flowing water accumulates into larger depressions on the ground surface.
accumulation						Accumulation is the process of bringing things together.
adaptation						The adaptation of animals are the features an animal has to live in their environment.
adaptation	Animals|plants	conditions of|habitats	adapted			Animals and plants are adapted to the conditions of the habitats in which they live.
adaptation	Plants|animals	changes|millions	adapted			Plants and animals have adapted to changes in the environment for millions of years.
adaptation	plant		transpiration			Even well watered plants may wilt if the plant cannot adapt it transpiration rate.
adaptation						Inherited characteristic of an organism that enhances its survival and reproduction in specific environments.
asexual reproduction					without the fusion of gametes	A more stringent definition is agamogenesis which is reproduction without the fusion of gametes
asexual reproduction	bacteria|protists		reproduction	single-celled organisms|the archaea|and		Asexual reproduction is the primary form of reproduction for single-celled organisms such as the archaea, bacteria, and protists
asexual reproduction	offspring|single organism		reproduction|inherit	from a|the genes of|parent		Asexual reproduction is a mode of reproduction by which offspring arise from a single organism, and inherit the genes of that parent only
asexual reproduction	single parent and|genetically		reproduction	that|results in offspring|all|identical to|parent		reproduction that involves a single parent and results in offspring that are all genetically identical to the parent
asexual reproduction	gametes|organism	single parent|gametes|cell	generation|budding	offspring|single cell|division|entire organism|two|parts	occurs without the fusion of gametes	The generation of offspring from a single parent that occurs without the fusion of gametes (by budding, division of a single cell, or division of the entire organism into two or more parts).
attracts						Students learned that when water vapor is cooled, attractions between water molecules cause them to condense and become liquid water.
attracts						Plants perfume their blooms to attract the insects and other animals they need to pollinate their flowers.
attracts	molecules|water vapor	molecules	attracted			Some molecules of water vapor contact the liquid water and are attracted by the molecules in the liquid.
attracts					water is in liquid phase	Most of the water is in the liquid phase, where it is held by the mutual attraction of water molecules.
attracts						cause to come to a place or participate in a venture by offering something of interest
Blinking						Blinking is a semi-autonomic rapid closing of the eyelid.
Blinking	tears|irritants		function			It is an essential function of the eye that helps spread tears across and remove irritants from the surface of the cornea and conjunctiva.
Blinking						Blinking provides moisture to the eye by irrigation using tears and a lubricant the eyes secrete.
Blinking					involuntarily	to open and close the eye, especially involuntarily
Blinking					automatically	We automatically blink 10 to 15 times a minute to moisten and oxygenate the cornea
boiling						Convection is the transfer of energy through movement, such as boiling water.
boiling						Steam is water vapor that is at temperatures above the boiling point of water.
boiling						The large amounts of energy required to change the state of water apply to both melting ice and boiling water.
boiling	water		bubbles			The bubbles seen when boiling water is not a chemical change.
boiling						Phase change examples are the melting of ice or the boiling of water.
breathe | breathing					oxygen	Plants need energy to give oxygen for us to breathe and animals need energy to search for more foods.
breathe | breathing					oxygen	All animals and plants need oxygen to breathe.
breathe | breathing	Animals		breathe		use it to extract energy from food	Animals breathe in oxygen and use it to extract energy from food.
breathe | breathing	plants		breathing			All the plants around you are breathing and releasing water, too.
breathe | breathing	Animals		take			Animals take in air by breathing.
breathe | breathing	Humans		inhale|breathe	dioxide	oxygen	Humans inhale (breathe in) oxygen and exhale (breathe out) carbon dioxide.
breathe | breathing						Breathing is the process that moves air in and out of the lungs
breathe | breathing						The process of respiration, during which air is inhaled into the lungs through the mouth or nose due to muscle contraction and then exhaled due to muscle relaxation.
breathe | breathing						A fish breathes by taking water into its mouth and forcing it out through the gill passages
build						Without a digestive system all the food and water in your body would build up.
build	water		builds	systems|human		If too much water builds up, the systems shut down for a human.
build						The body then burns these nutrients for energy or uses them to build new tissues and body parts.
build					in the foliage	Basically the plant builds it's own energy in the foliage.
build	something		make	materials|parts		To make something by combining materials or parts.
camouflage	animals		camouflage	hide|their enemies		Some animals use camouflage to hide from their enemies.
camouflage						Most animals of the open sea use at least one of these methods to camouflage themselves.
camouflage	animals		camouflage	hide from predators		Prey animals often use camouflage to hide from predators.
camouflage						There are four basic ways animals camouflage themselves.
camouflage	animals		camouflage	octopuses	aggressive | defensive	An example of animals that uses both aggressive and defensive camouflage is octopuses.
camouflage	Animals		change	can not be easily		Animals that change color or are of a color similar to their environment can camouflage themselves so that they cannot be easily seen.
camouflage						Camouflage is the use of any combination of materials, coloration or illumination for concealment
camouflage	animals	detection|natural	adaptation	avoid|predators|blend|their|environments		Camouflage is an adaptation that helps many animals avoid detection by predators or prey because it allows them to blend in to their natural environments.
camouflage	species	their	adaptation	blend|surroundings		Structural adaptation that enables species to blend with their surroundings
camouflage			camouflage			A primary defense against predators throughout the animal kingdom (and against the enemy during human warfare) is to avoid detection or recognition through camouflage
camouflage	Animals		change	can not be easily		Animals that change color or are of a color similar to their environment can camouflage themselves so that they cannot be easily seen.
