	QUESTION	Q_UNDERGOER	Q_ENABLER	Q_TRIGGER	Q_RESULT	Q_UNDERSPECIFIED	ANSWER_CHOICE	ANSWER_SENTENCE	A_UNDERGOER	A_ENABLER	A_TRIGGER	A_RESULT	A_UNDERSPECIFIED	UNDERGOER_SCORE	ENABLER_SCORE	TRIGGER_SCORE	RESULT_SCORE	UNDERSPECIFIED_SCORE	CORRECT_ANSWER	PREDICTED_ANSWER	PREDICTION
0	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	pot	None	heated	None	None	conduction	Students should realize that water is better than air at conducting energy.	energy	water air	conducting	None	None	0.0		0.0			conduction	convection	False
1	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	pot	None	heated	None	None	conduction	Some materials conduct energy better than others.	energy	materials	conduct	None	None	0.0		0.0			conduction	convection	False
2	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	pot	None	heated	None	None	conduction	Root functions include water and mineral conduction, food and water storage, and anchorage.	water mineral	None	conduction	None	None	0.0		0.0			conduction	convection	False
3	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	pot	None	heated	None	None	conduction	The warmed surface water is then transferred downward into the water column by conduction and convection.	warmed surface water	None	conduction	transferred downward into the water	None	0.0		0.0			conduction	convection	False
4	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	pot	None	heated	None	None	conduction	The direct transfer of thermal motion (heat) between molecules of objects in direct contact with each other.	heat	None	direct transfer	None	None	0.0		0.0005720001291880001			conduction	convection	False
5	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	None	None	process	the metal handle of pot to also become hot	None	conduction	Students should realize that water is better than air at conducting energy.	energy	water air	conducting		None			0.0	0.0		conduction	convection	False
6	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	None	None	process	the metal handle of pot to also become hot	None	conduction	Some materials conduct energy better than others.	energy	materials	conduct		None			0.0	0.0		conduction	convection	False
7	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	None	None	process	the metal handle of pot to also become hot	None	conduction	Root functions include water and mineral conduction, food and water storage, and anchorage.	water mineral	None	conduction		None			1.0	0.0		conduction	convection	False
8	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	None	None	process	the metal handle of pot to also become hot	None	conduction	The warmed surface water is then transferred downward into the water column by conduction and convection.	warmed surface water	None	conduction	transferred downward into the water	None			1.0	0.124865331767		conduction	convection	False
9	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	None	None	process	the metal handle of pot to also become hot	None	conduction	The direct transfer of thermal motion (heat) between molecules of objects in direct contact with each other.	heat	None	direct transfer		None			0.00212727320773	0.0		conduction	convection	False
10	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	pot	None	heated	None	None	convection	The greater the movement of the air or water the greater the rate of heat removal by convection.		movement of the air or water	convection	heat removal	None	0.0		0.0			conduction	convection	False
11	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	pot	None	heated	None	None	convection	Water vapor in the air rises mostly by convection.	Water vapor	None	convection	rises	None	0.0		0.0			conduction	convection	False
12	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	pot	None	heated	None	None	convection	The warmed surface water is then transferred downward into the water column by conduction and convection.	warmed surface water	None	convection	transferred downward into the water column	None	0.0		0.0			conduction	convection	False
13	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	pot	None	heated	None	None	convection	Heat was transferred from the flame of the stove to the water by convection.	water	None	convection	Heat was transferred	from the flame of the stove	0.0		0.0			conduction	convection	False
14	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	pot	None	heated	None	None	convection	The particles move around from one place to another through the flow of thermal energy during convection.	particles	None	convection	move around from one place to another	flow of thermal energy	0.0		0.0			conduction	convection	False
15	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	None	None	process	the metal handle of pot to also become hot	None	convection	The greater the movement of the air or water the greater the rate of heat removal by convection.	None	movement of the air or water	convection	heat removal	None			1.0	0.0		conduction	convection	False
16	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	None	None	process	the metal handle of pot to also become hot	None	convection	Water vapor in the air rises mostly by convection.	Water vapor	None	convection	rises	None			1.0	4.20522201753e-05		conduction	convection	False
17	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	None	None	process	the metal handle of pot to also become hot	None	convection	The warmed surface water is then transferred downward into the water column by conduction and convection.	warmed surface water	None	convection	transferred downward into the water column	None			1.0	0.100236343346		conduction	convection	False
18	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	None	None	process	the metal handle of pot to also become hot	None	convection	Heat was transferred from the flame of the stove to the water by convection.	water	None	convection	Heat was transferred	from the flame of the stove			1.0	0.034397851928199996		conduction	convection	False
19	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	None	None	process	the metal handle of pot to also become hot	None	convection	The particles move around from one place to another through the flow of thermal energy during convection.	particles	None	convection	move around from one place to another	flow of thermal energy			1.0	0.08012452208880001		conduction	convection	False
20	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	pot	None	heated	None	None	combustion	Chemical energy, the type of energy found in food and fuels, is changed into heat energy by combustion (burning).	Chemical	burning	combustion | burning	found fuels energy	None	0.0		0.0			conduction	convection	False
21	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	pot	None	heated	None	None	combustion	Water may also be returned to the atmosphere through the combustion of plants in fossil fuel.	plants fossil	Water	combustion	None	None	0.107690345807		0.0			conduction	convection	False
22	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	pot	None	heated	None	None	combustion	Fossil fuels provide energy via combustion and in the process release emissions that are toxic to animals and plants.	animals plants	None	combustion | release emissions	energy	None	0.123677288836		0.0			conduction	convection	False
23	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	pot	None	heated	None	None	combustion	An internal combustion engine is a heat engine that obtains mechanical energy from chemical energy by burning fuel.	internal	mechanical from chemical	burning	engine energy	None	0.0		0.0			conduction	convection	False
24	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	pot	None	heated	None	None	combustion	In reality alternative energy means anything other than deriving energy via fossil fuel combustion.		energy	combustion	alternative energy	None	0.0		0.0			conduction	convection	False
25	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	None	None	process	the metal handle of pot to also become hot	None	combustion	Chemical energy, the type of energy found in food and fuels, is changed into heat energy by combustion (burning).	Chemical	burning	combustion | burning	found fuels energy	None			0.36	0.0		conduction	convection	False
26	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	None	None	process	the metal handle of pot to also become hot	None	combustion	Water may also be returned to the atmosphere through the combustion of plants in fossil fuel.	plants fossil	Water	combustion		None			0.36	0.0		conduction	convection	False
27	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	None	None	process	the metal handle of pot to also become hot	None	combustion	Fossil fuels provide energy via combustion and in the process release emissions that are toxic to animals and plants.	animals plants	None	combustion | release emissions	energy	None			0.36	0.0		conduction	convection	False
28	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	None	None	process	the metal handle of pot to also become hot	None	combustion	An internal combustion engine is a heat engine that obtains mechanical energy from chemical energy by burning fuel.	internal	mechanical from chemical	burning	engine energy	None			0.0	0.0		conduction	convection	False
29	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	None	None	process	the metal handle of pot to also become hot	None	combustion	In reality alternative energy means anything other than deriving energy via fossil fuel combustion.	None	energy	combustion	alternative energy	None			0.36	0.0		conduction	convection	False
30	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	pot	None	heated	None	None	radiation	diverge or spread from or as if from a central point.		None	diverge | spread	None	None	0.0		0.0			conduction	convection	False
31	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	pot	None	heated	None	None	radiation	emit (energy, especially light or heat) in the form of rays or waves.	rays	None	emit	None	None	0.0		0.0			conduction	convection	False
32	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	pot	None	heated	None	None	radiation	radiation is the emission or transmission of energy in the form of waves or particles through space or through a material medium	energy waves	space	radiation | emission | transmission	None	None	0.0		0.0			conduction	convection	False
33	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	pot	None	heated	None	None	radiation	the complete process in which energy is emitted by one body, transmitted through an intervening medium or space, and absorbed by another body.		None	process	None	None	0.0		0.08125			conduction	convection	False
34	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	pot	None	heated	None	None	radiation	the process in which energy is emitted as particles or waves.	energy particles	None	process	None	None	0.0		0.08125			conduction	convection	False
35	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	None	None	process	the metal handle of pot to also become hot	None	radiation	diverge or spread from or as if from a central point.	None	None	diverge | spread		None			0.0	0.0		conduction	convection	False
36	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	None	None	process	the metal handle of pot to also become hot	None	radiation	emit (energy, especially light or heat) in the form of rays or waves.	rays	None	emit		None			0.0	0.0		conduction	convection	False
37	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	None	None	process	the metal handle of pot to also become hot	None	radiation	radiation is the emission or transmission of energy in the form of waves or particles through space or through a material medium	energy waves	space	radiation | emission | transmission		None			0.41153435386299997	0.0		conduction	convection	False
38	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	None	None	process	the metal handle of pot to also become hot	None	radiation	the complete process in which energy is emitted by one body, transmitted through an intervening medium or space, and absorbed by another body.	None	None	process		None			1.0	0.0		conduction	convection	False
39	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	None	None	process	the metal handle of pot to also become hot	None	radiation	the process in which energy is emitted as particles or waves.	energy particles	None	process		None			1.0	0.0		conduction	convection	False
40	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	melting	Melting is the opposite of freezing and involves changing water from its solid state (ice) to a liquid state by the addition of heat.	solid	addition of heat	melting | changing	liquid	None	0.0		1.0	0.0		weathering	melting	False
41	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	melting	Melting of ice is a physical change, not a chemical change.	ice	None	physical change | melting		None	0.0		1.0	0.0		weathering	melting	False
42	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	melting	the process whereby heat changes something from a solid to a liquid	solid	heat	changes	liquid	None	0.0		1.0	0.0		weathering	melting	False
43	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	melting	Melting is a physical process that results in the phase transition of a substance from a solid to a liquid.	substance	None	physical process | phase transition	liquid	None	1.0		0.27423822714699997	0.0		weathering	melting	False
44	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	melting	When a solid reaches the temperature of its melting point, it can become a liquid.	solid	reaches the temperature of its melting point	become	liquid	None	0.0		0.9767545675689999	0.0		weathering	melting	False
45	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	melting	The thermal energy of the water increases as it melts, changing from a solid (ice) to liquid water.	solid -LRB- ice -RRB-	thermal energy	melts	liquid water	None	0.0		0.25	0.0		weathering	melting	False
46	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	melting	The process by which water vapor changes to liquid water is called A. melting.	water vapor	None	melting	liquid water	None	0.0		0.25	0.0		weathering	melting	False
47	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	melting	The melting point of water is the temperature at which it changes from solid ice into liquid water.	solid ice	None	changes	liquid water	None	0.0		1.0	0.0		weathering	melting	False
48	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	melting	Ice melting into water is a physical change.	Ice	None	melting | physical change	water	None	0.0		1.0	0.0		weathering	melting	False
49	What starts the change from an igneous rock to a sedimentary rock? 	igneous rock	None	change	sedimentary rock	None	melting	Melting is the opposite of freezing and involves changing water from its solid state (ice) to a liquid state by the addition of heat.	solid	addition of heat	melting | changing	liquid	None	0.0		1.0	0.0		weathering	melting	False
