	QUESTION	ANSWER_CHOICE	MEAN_SCORE	MAX_SCORE	MEDIAN_SCORE	CORRECT_ANSWER
0	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	conduction	0.0356089452337	0.0858466723065	0.0204081632653	conduction
1	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	convection	0.0430109867196	0.0858466723065	0.0430109867196	conduction
2	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	combustion	0.0621141111227	0.0621141111227	0.0621141111227	conduction
3	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	radiation	0.00641548102135	0.00641548102135	0.00641548102135	conduction
4	What starts the change from an igneous rock to a sedimentary rock? 	melting	0.861221421635	1.27423822715	1.0	weathering
5	What starts the change from an igneous rock to a sedimentary rock? 	weathering	0.768343775616	1.5	1.0625	weathering
6	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	condensation	1.32444655441	2.0	1.42847769255	evaporation
7	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	precipitation	1.02035472513	1.18319252619	1.0	evaporation
8	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	evaporation	1.33623179247	2.05848630579	1.3084959059	evaporation
9	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "	mimicry	0.8125	1.0	1.0	camouflage
10	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "	camouflage	0.971720382714	1.67377225682	1.0	camouflage
11	mowing the lawn 	physical change	0.353026100042	0.468191734092	0.353026100042	physical change
12	mowing the lawn 	chemical change	0.0	0.0	0.0	physical change
13	The path Earth makes around the sun is called the 	rotation	0.000141357729174	0.000268589495127	0.000141357729174	orbit
14	The path Earth makes around the sun is called the 	orbit	0.418797585627	1.0	0.417347381443	orbit
15	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	evaporation	0.924223880891	1.13516257256	1.01249343453	condensation
16	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	condensation	1.72669150551	3.0	1.61908587432	condensation
17	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	precipitation	0.208873770457	0.853603847415	0.0277777777778	condensation
18	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	transpiration	0.245238760581	0.424068822564	0.176484886614	condensation
19	The continuous movement of nitrogen between air, soil, plants and animals. 	carbon cycle	1.0	1.0	1.0	nitrogen cycle
20	The continuous movement of nitrogen between air, soil, plants and animals. 	nitrogen cycle	1.0	1.0	1.0	nitrogen cycle
21	Andy is cooking a piece of ham in a pan. 	conduction	0.0	0.0	0.0	conduction
22	Andy is cooking a piece of ham in a pan. 	friction	0.0525013988665	0.0981777777778	0.0525013988665	conduction
23	What causes sunflowers to bend toward the sunlight? 	negative tropism	0.507341702795	1.00233772658	0.507341702795	positive tropism
24	What causes sunflowers to bend toward the sunlight? 	transportation	1.0	1.0	1.0	positive tropism
25	What causes sunflowers to bend toward the sunlight? 	positive tropism	0.67155319555	1.01234567901	1.0	positive tropism
26	What causes sunflowers to bend toward the sunlight? 	pollination	1.0	1.0	1.0	positive tropism
27	Waves change a shoreline by erosion and __________. 	deposition	0.0861810274711	0.0861810274711	0.0861810274711	deposition
28	Waves change a shoreline by erosion and __________. 	condensation	0.0	0.0	0.0	deposition
29	Waves change a shoreline by erosion and __________. 	precipitation	0.0	0.0	0.0	deposition
30	Waves change a shoreline by erosion and __________. 	evaporation	0.00842247714138	0.00842247714138	0.00842247714138	deposition
31	"<span class=""blank""> </span>is the process of liquid water turning into water vapor. "	storage	1.0	1.0	1.0	evaporation
32	"<span class=""blank""> </span>is the process of liquid water turning into water vapor. "	condensation	0.930421623999	1.44802332361	0.85695538509	evaporation
33	"<span class=""blank""> </span>is the process of liquid water turning into water vapor. "	precipitation	0.889442584804	1.14802787814	1.0	evaporation
34	"<span class=""blank""> </span>is the process of liquid water turning into water vapor. "	evaporation	1.43905477713	2.0	1.80683681061	evaporation
35	A new aluminum can made from used cans is an example of 	repairing	0.0309748289545	0.0891015366281	0.00191147511773	recycling
36	A new aluminum can made from used cans is an example of 	reducing	0.00100657478182	0.00222597947465	0.000701723608614	recycling
37	A new aluminum can made from used cans is an example of 	reusing	0.526937233499	0.526937233499	0.526937233499	recycling
38	A new aluminum can made from used cans is an example of 	recycling	1.44214437682	1.44214437682	1.44214437682	recycling
39	Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	metamorphosis	0.211732561726	0.211732561726	0.211732561726	photosynthesis
40	Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	photosynthesis	1.2236639607	2.0	1.01234567901	photosynthesis
41	Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	pollination	1.0	1.0	1.0	photosynthesis
42	Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	reproduction	1.02390134425	2.0	1.0	photosynthesis
43	Burning a match is a 	physical change	0.0314403391456	0.0673675526626	0.0120441153334	chemical change
44	Burning a match is a 	chemical change	0.0175010528854	0.0295014880952	0.0175010528854	chemical change
45	bleaching your hair 	physical change	0.244458919169	0.510374666735	0.0980334968999	chemical change
46	bleaching your hair 	chemical change	0.183446894059	0.297234879392	0.208333333333	chemical change
47	A reaction that forms water and a salt is called a 	chemical reaction	0.754004090293	1.0	0.964066587576	neutralization reaction
48	A reaction that forms water and a salt is called a 	neutralization reaction	1.01388888889	1.02777777778	1.01388888889	neutralization reaction
49	What is the force that slows down moving things? 	motion	0.00905526192044	0.0128319460959	0.00905526192044	friction
50	What is the force that slows down moving things? 	acceleration	0.231619003201	0.689750544786	0.126823633504	friction
51	What is the force that slows down moving things? 	gravity	0.270002333804	0.793490300171	0.127984318421	friction
52	What is the force that slows down moving things? 	friction	0.345918740984	1.1268236335	0.0889933552252	friction
53	"To move in a circle around an object is to <span class=""blank""> </span> "	revolve	0.110466556863	0.331775444427	0.036696927675	revolve
54	"To move in a circle around an object is to <span class=""blank""> </span> "	rotate	0.297168071544	1.0	0.0900957944773	revolve
55	"To move in a circle around an object is to <span class=""blank""> </span> "	eclipse	0.0	0.0	0.0	revolve
56	Which of the following is an unwanted change in the environment caused by harmful substances? 	overpopulation	0.0143100374613	0.0143100374613	0.0143100374613	pollution
57	Which of the following is an unwanted change in the environment caused by harmful substances? 	evolution	0.019527350373	0.0728742453242	0.00261327338753	pollution
58	Which of the following is an unwanted change in the environment caused by harmful substances? 	pollution	0.372956778085	0.872711945757	0.322277152989	pollution
59	"<span class=""blank""> </span> is the process of water vapor becoming liquid water when it cools. "	storage	1.0	1.0	1.0	condensation
60	"<span class=""blank""> </span> is the process of water vapor becoming liquid water when it cools. "	condensation	1.91635886923	2.65294927586	2.0	condensation
61	"<span class=""blank""> </span> is the process of water vapor becoming liquid water when it cools. "	precipitation	0.956182765248	1.0	1.0	condensation
62	"<span class=""blank""> </span> is the process of water vapor becoming liquid water when it cools. "	evaporation	1.11169517829	2.25560089877	1.11889805719	condensation
63	The process of cutting into a hillside to slow the speed of water flowing down a slope 	terracing	0.175962597325	0.243045591811	0.185378204346	terracing
64	The process of cutting into a hillside to slow the speed of water flowing down a slope 	contour plowing	0.391671172102	0.51239282856	0.391671172102	terracing
65	The process of cutting into a hillside to slow the speed of water flowing down a slope 	windbreaking	0.139442872244	0.273325244561	0.0738269118017	terracing
66	The process of cutting into a hillside to slow the speed of water flowing down a slope 	fertilization	0.0	0.0	0.0	terracing
67	The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	strip farming	0.10612415585	0.428278128336	0.00615586136785	strip farming
68	The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	contour plowing	0.2156004507	0.378226370147	0.2156004507	strip farming
69	The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	fertilization	0.208412098299	0.208412098299	0.208412098299	strip farming
70	The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	crop rotation	0.00510204081633	0.00510204081633	0.00510204081633	strip farming
71	A characteristic of an organism that increases its chances of survival in its environment. 	adaptation	1.20703125	3.0	1.0	adaptation
72	A characteristic of an organism that increases its chances of survival in its environment. 	camouflage	0.811621219068	1.30469920635	1.0	adaptation
73	What is water vapor in the air called? 	evaporation	0.587654141421	1.0	0.454883023756	humidity
74	What is water vapor in the air called? 	respiration	0.0	0.0	0.0	humidity
75	What is water vapor in the air called? 	humidity	1.0	1.0	1.0	humidity
76	"Precipitation that falls in form of balls of ice is called <span class=""blank""> </span>. "	hail	0.940004333064	1.44215887282	0.940107067057	hail
77	"Precipitation that falls in form of balls of ice is called <span class=""blank""> </span>. "	rain	0.197884906196	0.399187301224	0.155188246097	hail
78	"Precipitation that falls in form of balls of ice is called <span class=""blank""> </span>. "	snow	0.992626012216	1.40176849511	1.17305202546	hail
79	"A/an <span class=""blank""> </span> is something that helps a living thing survive in its environment. "	adaptation	1.8823442159	1.8823442159	1.8823442159	adaptation
80	"A/an <span class=""blank""> </span> is something that helps a living thing survive in its environment. "	physical change	0.120647241297	0.407123938188	0.00728428891864	adaptation
81	"A/an <span class=""blank""> </span> is something that helps a living thing survive in its environment. "	camouflage	0.320869968508	0.882344215899	0.171157502134	adaptation
82	A long and strong beak that tears flesh is 	tearing	1.03852599781	1.15435021589	1.0	tearing
83	A long and strong beak that tears flesh is 	spearing	0.00146038958214	0.00146038958214	0.00146038958214	tearing
84	Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	measuring	0.0	0.0	0.0	measuring
85	Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	classifying	0.494709155344	0.494709155344	0.494709155344	measuring
86	Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	predicting	0.0	0.0	0.0	measuring
87	Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	inferring	0.00694444444444	0.00694444444444	0.00694444444444	measuring
88	__________ is the movement of a group of one type of animal from one region to another and back again. 	hibernation	0.963858044585	1.0	1.0	migration
89	__________ is the movement of a group of one type of animal from one region to another and back again. 	migration	1.37831984008	2.0	1.10835363201	migration
90	If a fire destroys a forest, new plants will grow. 	conservation	0.0789407681068	0.229718989871	0.0047265625	succession
91	If a fire destroys a forest, new plants will grow. 	erosion	0.0208131898738	0.0208131898738	0.0208131898738	succession
92	If a fire destroys a forest, new plants will grow. 	succession	0.000559110760307	0.000559110760307	0.000559110760307	succession
93	When liquids are heated, this occurs: 	melting	0.111053073335	0.173333333333	0.135162572564	evaporation
94	When liquids are heated, this occurs: 	evaporation	0.687574488636	1.17333333333	1.02815856536	evaporation
95	"Babies will <span class=""blank""> </span> or get traits from their parents. "	reproduce	0.137995344549	0.229600694444	0.229600694444	inherit
96	"Babies will <span class=""blank""> </span> or get traits from their parents. "	survive	0.00087724104975	0.00087724104975	0.00087724104975	inherit
97	"Babies will <span class=""blank""> </span> or get traits from their parents. "	inherit	0.0772660106515	0.229600694444	0.00173611111111	inherit
98	The movement of an animal from one place to another as the seasons change is called 	hibernation	1.02527357806	1.59341466335	1.07802417475	migration
99	The movement of an animal from one place to another as the seasons change is called 	decomposition	0.454060636226	1.0	0.268018505412	migration
100	The movement of an animal from one place to another as the seasons change is called 	migration	1.67007934821	3.0	1.52438089025	migration
101	The movement of an animal from one place to another as the seasons change is called 	pollination	0.0	0.0	0.0	migration
102	"Magnets contain a force that <span class=""blank""> </span> certain metals like iron. "	attracts	0.322315605081	0.666666666667	0.127551020408	attracts
103	"Magnets contain a force that <span class=""blank""> </span> certain metals like iron. "	repels	0.197953701466	0.315151660371	0.221453287197	attracts
104	What is the third step of the water cycle? 	evaporation	0.0188650130968	0.0413223140496	0.0139430163209	precipitation
105	What is the third step of the water cycle? 	run off	1.0	1.0	1.0	precipitation
106	What is the third step of the water cycle? 	precipitation	0.361664033411	0.361664033411	0.361664033411	precipitation
107	What is the third step of the water cycle? 	condensation	0.367504467355	0.367504467355	0.367504467355	precipitation
108	An area received six inches of snow during the winter. Before the snow can continue through the water cycle as ground water or runoff, it must first 	evaporate	0.269042229284	0.693241415054	0.202084704942	melt
109	An area received six inches of snow during the winter. Before the snow can continue through the water cycle as ground water or runoff, it must first 	condense	0.502939855629	1.0	0.428477692545	melt
110	An area received six inches of snow during the winter. Before the snow can continue through the water cycle as ground water or runoff, it must first 	melt	0.580558453256	1.23919968812	0.577452509237	melt
111	An area received six inches of snow during the winter. Before the snow can continue through the water cycle as ground water or runoff, it must first 	freeze	0.345903280411	1.01942356836	0.251408145864	melt
112	What is the process of the movement of water and dissolved materials through the cell membrane? 	diffusion	0.344054439832	1.02777777778	0.262045821803	osmosis
113	What is the process of the movement of water and dissolved materials through the cell membrane? 	osmosis	1.23158245381	2.14046016889	0.708548203933	osmosis
114	The bending of light as it passes from one material into another is 	reflection	0.871239583407	2.0	1.0	refraction
115	The bending of light as it passes from one material into another is 	refraction	1.01557550953	1.03062620454	1.02129985267	refraction
116	The process by which molten material adds new oceanic crust to the ocean floor 	seafloor spreading theory	1.10309848059	1.10309848059	1.10309848059	seafloor spreading theory
117	The process by which molten material adds new oceanic crust to the ocean floor 	continental drift theory	0.00013931557106	0.00013931557106	0.00013931557106	seafloor spreading theory
118	To take in light 	reflect	0.000273400873018	0.000435939353734	0.000273400873018	absorb
119	To take in light 	absorb	0.0537394714004	0.212210036062	0.000915949846472	absorb
120	To take in light 	refract	0.0	0.0	0.0	absorb
121	The process of making a new plant from the joining of a sperm and a egg cell is known as 	asexual reproduction	0.240185357904	0.240185357904	0.240185357904	sexual reproduction
122	The process of making a new plant from the joining of a sperm and a egg cell is known as 	self-pollination	0.267438465009	0.313425834685	0.273869470711	sexual reproduction
123	The process of making a new plant from the joining of a sperm and a egg cell is known as 	cross-pollination	0.0177128311277	0.0224637442019	0.0177128311277	sexual reproduction
124	The process of making a new plant from the joining of a sperm and a egg cell is known as 	sexual reproduction	0.408232476046	0.692641977447	0.408232476046	sexual reproduction
125	How does your body acquire the oxygen the cells in your body need to function? 	diffusion	0.701314559873	0.876464569696	0.876464569696	breathing
126	How does your body acquire the oxygen the cells in your body need to function? 	absorption	0.0311418685121	0.0311418685121	0.0311418685121	breathing
127	How does your body acquire the oxygen the cells in your body need to function? 	breathing	0.00516794041284	0.00951248513674	0.00516794041284	breathing
128	How does your body acquire the oxygen the cells in your body need to function? 	osmosis	0.491828475423	1.18100328096	0.103073194581	breathing
129	A force that resists motion created by objects rubbing together. 	gravity	0.170395278061	0.666666666667	0.127551020408	friction
130	A force that resists motion created by objects rubbing together. 	friction	0.530612780109	1.0	0.540374048713	friction
131	"Your respiratory system helps you <span class=""blank""> </span>. "	breathe	0.0	0.0	0.0	breathe
132	"Your respiratory system helps you <span class=""blank""> </span>. "	move	0.0	0.0	0.0	breathe
133	"Your respiratory system helps you <span class=""blank""> </span>. "	digest food	0.0	0.0	0.0	breathe
134	corroding metal 	physical change	0.437003427958	0.666666666667	0.444276836404	chemical change
135	corroding metal 	chemical change	0.286881000112	0.666666666667	0.196635951124	chemical change
136	What process produces sex cells? 	mitosis	0.510980659482	0.510980659482	0.510980659482	meiosis
137	What process produces sex cells? 	splitting	0.0	0.0	0.0	meiosis
138	What process produces sex cells? 	meiosis	0.365249308947	0.510980659482	0.380490329741	meiosis
139	"Energy from the sun reaches earth by <span class=""blank""> </span>. "	convection	0.00991607561097	0.0295405508086	0.000204673327271	radiation
140	"Energy from the sun reaches earth by <span class=""blank""> </span>. "	radiation	1.0	1.0	1.0	radiation
141	"Energy from the sun reaches earth by <span class=""blank""> </span>. "	reflection	0.245589330223	0.712076632645	0.0123456790123	radiation
142	"Energy from the sun reaches earth by <span class=""blank""> </span>. "	friction	0.135986181177	0.364863768151	0.0894356365134	radiation
143	Which is the best example of natureâ??s recycling process? 	the water cycle	0.0	0.0	0.0	the water cycle
144	Which is the best example of natureâ??s recycling process? 	erosion	0.0	0.0	0.0	the water cycle
145	Which is the best example of natureâ??s recycling process? 	weathering	0.0	0.0	0.0	the water cycle
146	When closely related living things are bred together, it is called 	adaptation	0.0	0.0	0.0	crossbreeding
147	When closely related living things are bred together, it is called 	crossbreeding	0.0277777777778	0.0277777777778	0.0277777777778	crossbreeding
148	mixing lemonade powder into water 	physical change	0.362311981925	0.731497797868	0.215224326746	physical change
149	mixing lemonade powder into water 	chemical change	0.615322868314	2.01001737156	0.21484375	physical change
150	When something changes position, it is in? 	motion	0.517697241636	1.0	0.530521671356	motion
151	When something changes position, it is in? 	acceleration	0.252128054416	0.42241349431	0.13860442782	motion
152	When something changes position, it is in? 	gravity	0.0	0.0	0.0	motion
153	When something changes position, it is in? 	friction	0.00235472611103	0.00291606948734	0.00291606948734	motion
154	Being able to tell different sounds apart is called 	sound discrimination	0.442468286062	0.617059948568	0.326073844391	sound discrimination
155	Being able to tell different sounds apart is called 	vibration	0.334443356423	0.495983556151	0.411028700271	sound discrimination
156	The process of adding fertilizer to soil to replace nutrients used up by previous crops 	terracing	0.000235381346776	0.000278000761269	0.000235381346776	fertilization
157	The process of adding fertilizer to soil to replace nutrients used up by previous crops 	strip farming	0.004856434288	0.00943486781474	0.004856434288	fertilization
158	The process of adding fertilizer to soil to replace nutrients used up by previous crops 	crop rotation	0.0	0.0	0.0	fertilization
159	The process of adding fertilizer to soil to replace nutrients used up by previous crops 	fertilization	0.0	0.0	0.0	fertilization
160	"The movement of water back and forth between air and the Earth's surface is called the<span class=""blank""> </span>. "	water cycle	1.21360827648	2.0	1.0	water cycle
161	"The movement of water back and forth between air and the Earth's surface is called the<span class=""blank""> </span>. "	condensation	0.855018067718	1.0	1.0	water cycle
162	"The movement of water back and forth between air and the Earth's surface is called the<span class=""blank""> </span>. "	evaporation	0.749838170658	1.09748303433	1.0	water cycle
163	What do we call the process of a seed developing into a plant? 	germination	1.69275072463	3.0	1.50421524664	germination
164	What do we call the process of a seed developing into a plant? 	regeneration	0.2503692012	1.0	0.000678393103438	germination
165	"When an object orbits another object, it <span class=""blank""> </span>. "	vibrates	0.0	0.0	0.0	revolves
166	"When an object orbits another object, it <span class=""blank""> </span>. "	rotates	0.0845516476324	0.0845516476324	0.0845516476324	revolves
167	"When an object orbits another object, it <span class=""blank""> </span>. "	revolves	0.0507359652767	0.0829438611068	0.04	revolves
168	"When an object orbits another object, it <span class=""blank""> </span>. "	explodes	0.0	0.0	0.0	revolves
169	"The process in which a snake loses its outer skin is called <span class=""blank""> </span>. "	shedding	0.369241062759	0.54944785576	0.369241062759	molting
170	"The process in which a snake loses its outer skin is called <span class=""blank""> </span>. "	loosening	0.0	0.0	0.0	molting
171	"The process in which a snake loses its outer skin is called <span class=""blank""> </span>. "	molting	0.249208115382	0.468859624696	0.204954247896	molting
172	"<span class=""blank""> </span> is a change of position. "	motion	0.764523955072	1.0	0.907107974842	motion
173	"<span class=""blank""> </span> is a change of position. "	gravity	0.0	0.0	0.0	motion
174	The process of change from an egg to an adult butterfly is ____________. 	metamorphosis	0.490594977114	0.550185607844	0.490594977114	metamorphosis
175	The process of change from an egg to an adult butterfly is ____________. 	photosynthesis	0.0	0.0	0.0	metamorphosis
176	The process of change from an egg to an adult butterfly is ____________. 	reproduction	0.289595652362	0.597811324196	0.280203045557	metamorphosis
177	To change from a solid into a liquid is to 	solidify	0.383623889769	0.976754567569	0.268947096352	melt
178	To change from a solid into a liquid is to 	melt	2.21167301002	3.0	2.25	melt
179	To change from a solid into a liquid is to 	freeze	0.73076414087	1.651919101	0.624349635796	melt
180	What is it called when an object is moved from one position to another? 	work	0.0	0.0	0.0	work
