When one object passes through the shadow of another it is a? 	one object		passes			When one object passes through the shadow of another it is a?
How does your body acquire the oxygen the cells in your body need to function? 						How does your body acquire the oxygen the cells in your body need to function?
As water vapor rises in the atmosphere, it cools and changes back to liquid.					rises in the atmosphere	As water vapor rises in the atmosphere, it cools and changes back to liquid.
Tiny drops of liquid form clouds in this process called						Tiny drops of liquid form clouds in this process called
The process in which something changes from a gas state to a liquid state 						The process in which something changes from a gas state to a liquid state
Liquid water becomes a gas called water vapor through the process of <span class="blank"> </span> 						Liquid water becomes a gas called water vapor through the process of
<span class="blank"> </span> refers to the movement of Earth around the sun. 			refers		around the sun	refers to the movement of Earth around the sun.
The process in which a snake loses its outer skin is called <span class="blank"> </span>. 						The process in which a snake loses its outer skin is called .
The continuous transfer of carbon between the atmosphere and organisms 			transfer		between the atmoshpere and organisms	The continuous transfer of carbon between the atmosphere and organisms
What is the process of the movement of water and dissolved materials through the cell membrane? 						What is the process of the movement of water and dissolved materials through the cell membrane?
The continuous movement of nitrogen between air, soil, plants and animals. 	nitrogen|soil|plants|animals		movement		between air, soil, plants and animals	The continuous movement of nitrogen between air, soil, plants and animals.
What make oceans bigger? 						What make oceans bigger?
A giraffe's long neck is a(n) 						A giraffe's long neck is a(n)
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						A/an  is something that helps a living thing survive in its environment.
The process of making a new plant from the joining of a sperm and a egg cell is known as 	plant		making|joining	sperm		The process of making a new plant from the joining of a sperm and a egg cell is known as
Offspring come from a single parent during <span class="blank"> </span>. 						Offspring come from a single parent during .
Which of the following is an unwanted change in the environment caused by harmful substances? 						Which of the following is an unwanted change in the environment caused by harmful substances?
Colors, patterns and shapes that disguise an animal from predators. 					from predators	Colors, patterns and shapes that disguise an animal from predators.
If a snake copies another snake it is called 						If a snake copies another snake it is called
A(n) <span class="blank"> </span> is a modified feature that helps a plant survive in the environment. 						A(n)  is a modified feature that helps a plant survive in the environment.
Select whether the example is a chemical change or a physical change<br/><br/>Glass breaking 						Select whether the example is a chemical change or a physical change Glass breaking
Is burning a chemical change or physical change? 			burning			Is burning a chemical change or physical change?
spoiling food 						spoiling food
squeezing oranges to make orange juice 						squeezing oranges to make orange juice
mixing lemonade powder into water 		water	mixing	powder		mixing lemonade powder into water
mowing the lawn 						mowing the lawn
bleaching your hair 						bleaching your hair
fireworks exploding 	fireworks		exploding			fireworks exploding
corroding metal 						corroding metal
Burning a match is a 						Burning a match is a
A change in the way matter looks is called <span class="blank"> </span>? 						A change in the way matter looks is called ?
A reaction that forms water and a salt is called a 						A reaction that forms water and a salt is called a
During <span class="blank"> </span>, autotrophs use light energy to convert carbon dioxide and water into oxygen and energy-rich carbohydrates such as sugars and starches. 						During , autotrophs use light energy to convert carbon dioxide and water into oxygen and energy-rich carbohydrates such as sugars and starches.
There is one more way to deal with our growing garbage problem.						There is one more way to deal with our growing garbage problem.
Leaves and grass clippings can be <span class="blank"> </span> or placed in a pile in the backyard.						Leaves and grass clippings can be  or placed in a pile in the backyard.
They will break down into soil and not have to be collected and take up space in our landfills.	They		break	soil|landfills		They will break down into soil and not have to be collected and take up space in our landfills.
When a liquid changes to a gas it is called 						When a liquid changes to a gas it is called
When you leave a glass of water standing on the counter, water forms on the outside of the glass.		water|water forms	leave		on the counter	When you leave a glass of water standing on the counter, water forms on the outside of the glass.
This is an example of <span class="blank"> </span>.						This is an example of .
The movement of water back and forth between air and the Earth's surface is called the<span class="blank"> </span>. 	water|Earth	air	movement	between|surface	between air and the Earth's surface	The movement of water back and forth between air and the Earth's surface is called the.
The process by which a liquid changes to a gas 						The process by which a liquid changes to a gas
The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	crops		planting	same|help|nutrients	in different years	The process of planting different crops on the same land in different years to help in adding nutrients back in the soil
The process of cutting into a hillside to slow the speed of water flowing down a slope 		speed|slope	cutting			The process of cutting into a hillside to slow the speed of water flowing down a slope
The process of adding fertilizer to soil to replace nutrients used up by previous crops 			adding	nutrients		The process of adding fertilizer to soil to replace nutrients used up by previous crops
Drinking lots of salt water can kill a person.						Drinking lots of salt water can kill a person.
The salt in the water moves to the cells, where there is very little salt.					where there is very little salt	The salt in the water moves to the cells, where there is very little salt.
As the cells move the water to balance out the salt - so that the salt is equal on both sides - water moves OUT of the cell, and the cell dies.						As the cells move the water to balance out the salt - so that the salt is equal on both sides - water moves OUT of the cell, and the cell dies.
What causes this to happen?						What causes this to happen?
The final stage of the erosional process in which materials are dropped in another location is called <span class="blank"> </span>. 						The final stage of the erosional process in which materials are dropped in another location is called .
A species that no longer exists. 						A species that no longer exists.
Which is the best example of natureâ??s recycling process? 						Which is the best example of nature's recycling process?
The process of wearing away rocks by natural means is called 	rocks		wearing			The process of wearing away rocks by natural means is called
The process of moving sediment by wind, moving water, or ice is 	sediment|water	wind	moving			The process of moving sediment by wind, moving water, or ice is
What is the process that moves pieces of rock and soil? 						What is the process that moves pieces of rock and soil?
The process of breaking down rocks into smaller particles is called: 	rocks		breaking	particles		The process of breaking down rocks into smaller particles is called:
Then droplets of water (rain, snow, sleet, or hail) fall back to the earth, this is called: 						Then droplets of water (rain, snow, sleet, or hail) fall back to the earth, this is called:
When liquids are heated, this occurs: 						When liquids are heated, this occurs:
The process by which a gas changes into a liquid is called <span class="blank"> </span>. 						The process by which a gas changes into a liquid is called .
