	QUESTION	ANSWER_CHOICE	MEAN_SCORE	MAX_SCORE	MEDIAN_SCORE	CORRECT_ANSWER
0	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	conduction	0.9608622506576667	1.00127551020408	1.0	conduction
1	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	convection	1.000083763682904	1.00127551020408	1.0	conduction
2	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	combustion	0.3599999999999999	0.36	0.36	conduction
3	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	radiation	0.5389491800498686	1.0	0.41158686383989557	conduction
4	What starts the change from an igneous rock to a sedimentary rock? 	melting	0.750110310524	1.0	1.0	weathering
5	What starts the change from an igneous rock to a sedimentary rock? 	weathering	0.15	0.5	0.0625	weathering
6	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	condensation	0.953903017632905	1.0	1.0	evaporation
7	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	precipitation	1.0129592117423447	1.192624614334	1.0	evaporation
8	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	evaporation	1.1886313309918604	2.0	1.0	evaporation
9	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "	mimicry	0.0	0.0	0.0	camouflage
10	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "	camouflage	0.0	0.0	0.0	camouflage
11	mowing the lawn 	physical change	0.0	0.0	0.0	physical change
12	mowing the lawn 	chemical change	0.0	0.0	0.0	physical change
13	The path Earth makes around the sun is called the 	rotation	0.00014135772917385	0.00026858949512700007	0.00014135772917385004	orbit
14	The path Earth makes around the sun is called the 	orbit	1.0355630796337345	2.0	1.0	orbit
15	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	evaporation	0.5739460785205334	1.135162572564	0.507175092766	condensation
16	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	condensation	1.3570145496513482	2.507175092766	1.197129962894	condensation
17	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	precipitation	0.10355324645078001	0.87921859114	0.0563527880851	condensation
18	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	transpiration	0.5072665444398038	0.728690216875	0.507175092766	condensation
19	The continuous movement of nitrogen between air, soil, plants and animals. 	carbon cycle	0.8878198826867143	1.0	1.0	nitrogen cycle
