	QUESTION	ANSWER_CHOICE	Q_UNDERGOER	A_UNDERGOER	UNDERGOER_SCORE	Q_ENABLER	A_ENABLER	ENABLER_SCORE	Q_TRIGGER	A_TRIGGER	TRIGGER_SCORE	Q_THEME	A_THEME	THEME_SCORE	Q_RESULT	A_RESULT	RESULT_SCORE	Q_MEDIUM	A_MEDIUM	MEDIUM_SCORE	Q_SOURCE	A_SOURCE	SOURCE_SCORE	Q_TARGET	A_TARGET	TARGET_SCORE	Q_LOCATION	A_LOCATION	LOCATION_SCORE	Q_DIRECTION	A_DIRECTION	DIRECTION_SCORE	CORRECT_ANSWER	PREDICTED_ANSWER	PREDICTION
0	"To move in a circle around an object is to <span class=""blank""> </span>"	revolve		object					move	move	1.0																around an object	around a point | around another object | around a center of mass	0.726010456997				revolve	revolve	True
1	"To move in a circle around an object is to <span class=""blank""> </span>"	rotate		planet | moon					move	turns | spins	0.275434027778																around an object	on its axis	0.224609346391				revolve	revolve	True
2	"To move in a circle around an object is to <span class=""blank""> </span>"	eclipse		one celestial body					move	obscures	0.0																around an object						revolve	revolve	True
3	How does your body acquire the oxygen the cells in your body need to function? 	absorption				body				take in					acquire the oxygen																		breathing	absorption	False
4	How does your body acquire the oxygen the cells in your body need to function? 	breathing		human body		body	lungs	0.0		breathed			takes the oxygen		acquire the oxygen																		breathing	absorption	False
5	How does your body acquire the oxygen the cells in your body need to function? 	osmosis		water		body				movement					acquire the oxygen				semipermeable membrane			low solute concentration			high solute concentation								breathing	absorption	False
6	The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	terracing	land	piece of sloped plane | fields | hillside or sloping lawn	0.00046749452154900005	different crops			planting	cut | terraced | form	0.0	adding nutrients back in the soil				a series of successively receding flat surfaces or platforms | decrease erosion and surface runoff | terraces | prevent the formation of rills, improves soil fertility through reduced erosion, and helps water conservation																	crop rotation	contour plowing	False
7	The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	contour plowing	land	piece of cropland	0.0	different crops			planting	ploughing following the contours of the land | Tilling	0.0	adding nutrients back in the soil	soil	1.0		minimize the effects of erosion | prevents fertile topsoil from being carried downhill by flowing rainwater																	crop rotation	contour plowing	False
8	The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	crop rotation	land			different crops			planting	growing | rotating	0.0	adding nutrients back in the soil	different crops	0.0		preserve the productive capacity of the soil | add nutrients to the soil																	crop rotation	contour plowing	False
9	The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	fertilization	land	soil	2.70229301914e-05	different crops	addition of organic material or fertilizer	0.0	planting	making | applying | fertilizing	0.0012289063733299998	adding nutrients back in the soil				more productive of plant growth | enrichment of soil | production of crops | replace the nutrients																	crop rotation	contour plowing	False
