	QUESTION	ANSWER_CHOICE	Q_UNDERGOER	A_UNDERGOER	UNDERGOER_SCORE	Q_ENABLER	A_ENABLER	ENABLER_SCORE	Q_TRIGGER	A_TRIGGER	TRIGGER_SCORE	Q_THEME	A_THEME	THEME_SCORE	Q_RESULT	A_RESULT	RESULT_SCORE	Q_MEDIUM	A_MEDIUM	MEDIUM_SCORE	Q_SOURCE	A_SOURCE	SOURCE_SCORE	Q_TARGET	A_TARGET	TARGET_SCORE	Q_LOCATION	A_LOCATION	LOCATION_SCORE	Q_DIRECTION	A_DIRECTION	DIRECTION_SCORE	CORRECT_ANSWER
0	What is the name of the process by which most cells divide?	life cycle	cells	species	0.0		reproduction		divide							succeeding each other																	mitosis
1	What is the name of the process by which most cells divide?	mitosis	cells	cell	1.0				divide	division	1.0					genetically identical daughter cells																	mitosis
2	What is the name of the process by which most cells divide?	regeneration	cells	organism	0.0				divide	reproduction	0.0																						mitosis
3	What process produces sex cells?	mitosis		cell					produces	division	0.0				sex cells	genetically identical daughter cells	0.510980659482																meiosis
4	What process produces sex cells?	splitting		something					produces	split | separate | break	0.0				sex cells	parts	0.0																meiosis
5	What process produces sex cells?	meiosis		germ cell					produces	division	0.0				sex cells	sex cells	1.0																meiosis
6	When light strikes a surface and bounces off, what occurs?	refraction	light	light | wave	1.0				strikes a surface and bounces off	goes | bounce	0.45687288591					bends at an angle			object														reflection
7	When you rub your hands together very quickly, it produces heat and is called 	gravity	hands	matter | physical things | terrestrial bodies	0.0331206728529		natural force		rub	move | gravitational energy | attraction	0.0				heat	fall toward the center of the earth	0.0											towards each other					friction
8	When you rub your hands together very quickly, it produces heat and is called 	friction	hands	surface	0.0		moving over another		rub	resistance	0.0				heat																		friction
9	When you rub your hands together very quickly, it produces heat and is called 	friction	hands						rub	rub	1.0				heat	heat	1.0																friction
10	Which of the following must all plant and animal species do in order for each species to survive?	migrate	all plant and animal species	animal | bird | fish	0.331209798951					move					each species to survive							one region or habitat			another								reproduce
11	Which of the following must all plant and animal species do in order for each species to survive?	reproduce	all plant and animal species	animal	1.0		some process of generation or propagation, sexual or asexual			generate | reproduction					each species to survive	offspring | survival of a species	0.59103043862																reproduce
12	Which of the following must all plant and animal species do in order for each species to survive?	make food	all plant and animal species	plants	1.0		chlorophyll			make					each species to survive	food	0.0																reproduce
13	"To move in a circle around an object is to <span class=""blank""> </span>"	revolve		object					move	move	1.0																around an object	around a point | around another object | around a center of mass	0.726010456997				revolve
14	"To move in a circle around an object is to <span class=""blank""> </span>"	rotate		planet | moon					move	turns | spins	0.275434027778																around an object	on its axis	0.224609346391				revolve
15	"To move in a circle around an object is to <span class=""blank""> </span>"	eclipse		one celestial body					move	obscures	0.0																around an object						revolve
16	Glaciers are slow-moving sheets of ice found on land. What process occurs when glacial ice is heated to 5Â° Celsius?	precipitation	glacial ice	water vapour | water	0.225573801098	heated				condensation | falls						falls under gravity						sky			earth								melting
17	Glaciers are slow-moving sheets of ice found on land. What process occurs when glacial ice is heated to 5Â° Celsius?	melting	glacial ice	substance | solid	0.0666722071238	heated	heating	1.0		changing | phase transition						liquid																	melting
18	Glaciers are slow-moving sheets of ice found on land. What process occurs when glacial ice is heated to 5Â° Celsius?	freezing	glacial ice	liquid	0.651919101004	heated	temperature is lowered	0.00565848763293		phase transition						solid																	melting
19	Glaciers are slow-moving sheets of ice found on land. What process occurs when glacial ice is heated to 5Â° Celsius?	evaporation	glacial ice	substance | liquid state	0.236783684547	heated	increase in temperature and/or pressure	0.00320835210983		water cycle						gaseous state																	melting
20	The continuous movement of nitrogen between air, soil, plants and animals.	carbon cycle	nitrogen	carbon	0.0				continuous movement	continuous exchange	0.547817141094																						nitrogen cycle
21	The continuous movement of nitrogen between air, soil, plants and animals.	nitrogen cycle	nitrogen	nitrogen	1.0				continuous movement	exchanged	0.0																						nitrogen cycle
