QUESTION	OPTIONS	OPTION_A	OPTION_B	OPTION_C	OPTION_D	QUESTION_PROCESS_NAME	ANSWER
When one object passes through the shadow of another it is a? 	(A) Eclipse (B) Crater (C) Axis (D) Reflection	eclipse	reflection			0	OPTION_A
How does your body acquire the oxygen the cells in your body need to function? 	(A) osmosis (B) diffusion (C) breathing (D) absorption	osmosis	diffusion	breathing	absorption	0	OPTION_C
As water vapor rises in the atmosphere, it cools and changes back to liquid. Tiny drops of liquid form clouds in this process called 	(A) Condensation (B) Precipitation (C) Evaporation (D) Run-off	condensation	precipitation	evaporation	run-off	0	OPTION_A
The process in which something changes from a gas state to a liquid state 	(A) convection (B) forecast (C) condensation	convection	forecast	condensation		0	OPTION_C
Liquid water becomes a gas called water vapor through the process of <span class="blank"> </span> 	(A) condensation (B) humidity (C) evaporation (D) transpiration	condensation	humidity	evaporation	transpiration	0	OPTION_C
<span class="blank"> </span> refers to the movement of Earth around the sun. 	(A) precipitation (B) random movement (C) revolution (D) rotation	precipitation	revolution	rotation		0	OPTION_B
The process in which a snake loses its outer skin is called <span class="blank"> </span>. 	(A) molting (B) shedding (C) loosening (D) wriggling	molting	shedding	loosening		0	OPTION_A
The continuous transfer of carbon between the atmosphere and organisms 	(A) nitrogen cycle (B) pollutants (C) hemisphere (D) biomes (E) decomposers (F) carbon cycle (G) consumers (H) threatened	nitrogen cycle	carbon cycle			0	OPTION_B
What is the process of the movement of water and dissolved materials through the cell membrane? 	(A) osmosis (B) cell wall (C) diffusion (D) cell theory	osmosis	diffusion			0	OPTION_A
The continuous movement of nitrogen between air, soil, plants and animals. 	(A) carbon cycle (B) biomes (C) grasslands (D) pollutants (E) decomposers (F) nitrogen cycle (G) consumers (H) atmosphere	carbon cycle	nitrogen cycle			0	OPTION_B
What make oceans bigger? 	(A) accumulation (B) deposition (C) estuary (D) rain	accumulation	deposition	rain		0	OPTION_B
A giraffe's long neck is a(n) 	(A) adaption (B) camouflage (C) mimicry (D) food web	adaptation	camouflage	mimicry		0	OPTION_A
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 	(A) ecosystem (B) adaptation (C) physical change (D) camouflage	adaptation	physical change	camouflage		0	OPTION_A
The process of making a new plant from the joining of a sperm and a egg cell is known as 	(A) asexual reproduction (B) cross-pollination (C) sexual reproduction (D) self-pollination	asexual reproduction	cross-pollination	sexual reproduction	self-pollination	0	OPTION_C
Offspring come from a single parent during <span class="blank"> </span>. 	(A) asexual reproduction (B) sexual reproduction (C) heredity	asexual reproduction	sexual reproduction			0	OPTION_A
Which of the following is an unwanted change in the environment caused by harmful substances? 	(A) biodiversity (B) overpopulation (C) pollution (D) evolution	overpopulation	pollution	evolution		0	OPTION_B
Colors, patterns and shapes that disguise an animal from predators. 	(A) camouflage (B) hibernate (C) migrate (D) instinct	camouflage	hibernate	migrate		0	OPTION_A
If a snake copies another snake it is called 	(A) camouflage (B) mimicry (C) play (D) food web	camouflage	mimicry	play		0	OPTION_B
A(n) <span class="blank"> </span> is a modified feature that helps a plant survive in the environment. 	(A) change (B) adaptation (C) limb	change	adaptation			0	OPTION_B
Select whether the example is a chemical change or a physical change<br/><br/>Glass breaking 	(A) chemical change (B) physical change	chemical change	physical change			0	OPTION_B
Is burning a chemical change or physical change? 	(A) chemical change (B) physical change	chemical change	physical change			0	OPTION_A
spoiling food 	(A) chemical change (B) physical change	chemical change	physical change			0	OPTION_A
squeezing oranges to make orange juice 	(A) chemical change (B) physical change	chemical change	physical change			0	OPTION_B
mixing lemonade powder into water 	(A) chemical change (B) physical change	chemical change	physical change			0	OPTION_B
mowing the lawn 	(A) chemical change (B) physical change	chemical change	physical change			0	OPTION_B
bleaching your hair 	(A) chemical change (B) physical change	chemical change	physical change			0	OPTION_A
fireworks exploding 	(A) chemical change (B) physical change	chemical change	physical change			0	OPTION_A
corroding metal 	(A) chemical change (B) physical change	chemical change	physical change			0	OPTION_A
Burning a match is a 	(A) chemical change (B) physical change (C) chemical property (D) physical property	chemical change	physical change			0	OPTION_A
A change in the way matter looks is called <span class="blank"> </span>? 	(A) chemical change (B) physical change (C) states of matter	chemical change	physical change			0	OPTION_B
A reaction that forms water and a salt is called a 	(A) chemical reaction (B) basic reaction (C) neutralization reaction	chemical reaction	neutralization reaction			0	OPTION_B
During <span class="blank"> </span>, autotrophs use light energy to convert carbon dioxide and water into oxygen and energy-rich carbohydrates such as sugars and starches. 	(A) chemosynthesis (B) photosynthesis (C) evaporation (D) nitrogen fixation	chemosynthesis	photosynthesis	evaporation	nitrogen fixation	0	OPTION_B
There is one more way to deal with our growing garbage problem. Leaves and grass clippings can be <span class="blank"> </span>or placed in a pile in the backyard. They will break down into soil and not have to be collected and take up space in our landfills. 	(A) composted (B) separated (C) processed (D) crushed	composted	separated	processed	crushed	0	OPTION_A
When a liquid changes to a gas it is called 	(A) condensation (B) melting point (C) evaporation (D) boiling point	condensation	evaporation			0	OPTION_B
When you leave a glass of water standing on the counter, water forms on the outside of the glass. This is an example of <span class="blank"> </span>. 	(A) condensation (B) a solid (C) evaporation (D) a liquid	condensation	evaporation			0	OPTION_A
The movement of water back and forth between air and the Earth's surface is called the<span class="blank"> </span>. 	(A) condensation (B) water cycle (C) evaporation	condensation	water cycle	evaporation		0	OPTION_B
The process by which a liquid changes to a gas 	(A) Condensation (B) Water cycle (C) Evaporation (D) wind vane	condensation	water cycle	evaporation		0	OPTION_C
The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	(A) contour plowing (B) terracing (C) crop rotation (D) fertilization	contour plowing	terracing	crop rotation	fertilization	0	OPTION_C
The process of cutting into a hillside to slow the speed of water flowing down a slope 	(A) contour plowing (B) terracing (C) windbreaking (D) fertilization	contour plowing	terracing	windbreaking	fertilization	0	OPTION_B
The process of adding fertilizer to soil to replace nutrients used up by previous crops 	(A) crop rotation (B) fertilization (C) strip farming (D) terracing	crop rotation	fertilization	strip farming	terracing	0	OPTION_B
Drinking lots of salt water can kill a person. The salt in the water moves to the cells, where there is very little salt. As the cells move the water to balance out the salt - so that the salt is equal on both sides - water moves OUT of the cell, and the cell dies. What causes this to happen? 	(A) Diffusion (B) Osmosis	diffusion	osmosis			0	OPTION_B
The final stage of the erosional process in which materials are dropped in another location is called <span class="blank"> </span>. 	(A) dropping (B) deposit (C) deposition	dropping	deposit	deposition		0	OPTION_C
A species that no longer exists. 	(A) endangered (B) habitat (C) extinction (D) classify	extinction	classify			0	OPTION_A
Which is the best example of natureâ??s recycling process? 	(A) Erosion (B) The Food Chain (C) Weathering (D) The Water Cycle	erosion	weathering	the water cycle		0	OPTION_C
The process of wearing away rocks by natural means is called 	(A) erosion (B) weathering (C) faults (D) earthquakes	erosion	weathering			0	OPTION_B
The process of moving sediment by wind, moving water, or ice is 	(A) erosion (B) weathering (C) earthquakes (D) faults	erosion	weathering			0	OPTION_A
What is the process that moves pieces of rock and soil? 	(A) erosion (B) delta (C) mudslide (D) weathering	erosion	weathering			0	OPTION_A
The process of breaking down rocks into smaller particles is called: 	(A) erosion (B) weathering (C) sedimentation	erosion	weathering	sedimentation		0	OPTION_B
Then droplets of water (rain, snow, sleet, or hail) fall back to the earth, this is called: 	(A) Evaporation (B) Condensation (C) Precipitation	evaporation	condensation	precipitation		0	OPTION_C
When liquids are heated, this occurs: 	(A) temperature (B) evaporation (C) particle (D) melting	evaporation	melting			0	OPTION_A
The process by which a gas changes into a liquid is called <span class="blank"> </span>. 	(A) evaporation (B) precipitation (C) condensation (D) transpiration	evaporation	precipitation	condensation	transpiration	0	OPTION_C
What is the third step of the water cycle? 	(A) evaporation (B) precipitation (C) run off (D) condensation	evaporation	precipitation	run off	condensation	0	OPTION_B
What is water vapor in the air called? 	(A) Humidifier (B) Evaporation (C) Humidity (D) Respiration	evaporation	humidity	respiration		0	OPTION_B
The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	(A) fertilization (B) crop rotation (C) contour plowing (D) strip farming	fertilization	crop rotation	contour plowing	strip farming	0	OPTION_D
Bees help flowers reproduces through a process called 	(A) fertilization (B) phototropism (C) transpiration (D) pollination	fertilization	phototropism	transpiration	pollination	0	OPTION_D
Mixtures can be separated by all of the following means except which one? 	(A) Filtering (B) Evaporation (C) Boiling (D) Mechanical	filtering	evaporation	boiling		0	OPTION_C
When you rub your hands together very quickly, it produces heat and is called 	(A) force (B) temperature (C) friction (D) gravity	friction	gravity			0	OPTION_A
A change in an object's position is called: 	(A) force (B) motion (C) pulling (D) velocity	motion	pulling			0	OPTION_A
Andy is cooking a piece of ham in a pan. 	(A) friction (B) conduction (C) insulation (D) temperature	friction	conduction			0	OPTION_B
What do we call the process of a seed developing into a plant? 	(A) Generation (B) Regeneration (C) Seedling (D) Germination	regeneration	germination			0	OPTION_B
What process ends with a new and improved plant? 	(A) grafting (B) photosynthesis (C) germinating (D) all of the above	grafting	photosynthesis	germinating		0	OPTION_A
A force that resists motion created by objects rubbing together. 	(A) gravity (B) friction (C) speed (D) force	gravity	friction			0	OPTION_B
What is it called when an object is moved from one position to another? 	(A) gravity (B) push/pull (C) work	gravity	work			0	OPTION_B
When we cut down trees or drain wetlands, we do what to the habitats of many living things? 	(A) help (B) destroy (C) build (D) plant	help	destroy	build	plant	0	OPTION_B
To travel from one place to another. 	(A) hibernate (B) instinct (C) camouflage (D) migrate	hibernate	camouflage	migrate		0	OPTION_C
What do you call movements from one location to another? 	(A) hibranation (B) behavior (C) instinct (D) migration	hibernation	migration			0	OPTION_B
When closely related living things are bred together, it is called 	(A) Hybrids (B) Adaptation (C) Diversity (D) Crossbreeding	adaptation	crossbreeding			0	OPTION_B
The force that keeps us on Earth is <span class="blank"> </span> 	(A) inertia (B) magnetism (C) gravity (D) momentum	inertia	magnetism	gravity		0	OPTION_C
__________ is the movement of a group of one type of animal from one region to another and back again. 	(A) instinct (B) hibernation (C) migration (D) all of the above	hibernation	migration			0	OPTION_B
The process of a liquid becoming a gas is called <span class="blank"> </span> 	(A) Melting (B) Boiling (C) Wave (D) Evaporation	melting	boiling	evaporation		0	OPTION_C
Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	(A) metamorphosis (B) photosynthesis (C) pollination (D) reproduction	metamorphosis	photosynthesis	pollination	reproduction	0	OPTION_B
To go into a deep sleep. 	(A) migrate (B) hibernate (C) camouflage (D) instinct	migrate	hibernate	camouflage		0	OPTION_B
Which of the following must all plant and animal species do in order for each species to survive? 	(A) migrate (B) reproduce (C) make food (D) change color	migrate	reproduce	make food	change color	0	OPTION_B
What helps an animal look like another animal to protect it from predators? 	(A) niche (B) migration (C) camouflage (D) mimicry	migration	camouflage	mimicry		0	OPTION_C
An adaptation in which an animal looks very much like another animal or an object is a _____________. 	(A) mimicry (B) camouflage (C) body covering (D) all of the above	mimicry	camouflage			0	OPTION_A
<span class="blank"> </span> is an animal's color or pattern that helps it blend in with its surroundings. 	(A) mimicry (B) camouflage (C) body covering (D) all of the above	mimicry	camouflage			0	OPTION_B
The process that forms reproductive cells is called? 	(A) mitosis (B) meiosis	mitosis	meiosis			0	OPTION_B
Which is reproduction that requires a male and female cell? 	(A) mitosis (B) sexual reproduction (C) asexual reproduction	mitosis	sexual reproduction	asexual reproduction		0	OPTION_B
<span class="blank"> </span> is a change of position. 	(A) motion (B) force (C) factors (D) gravity	motion	gravity			0	OPTION_A
The force that pulls objects to the center of the Earth is called? 	(A) motion (B) friction (C) gravity (D) acceleration (E) force	motion	friction	gravity	acceleration	0	OPTION_C
When something changes position, it is in? 	(A) motion (B) friction (C) gravity (D) acceleration (E) force	motion	friction	gravity	acceleration	0	OPTION_A
What is the force that slows down moving things? 	(A) motion (B) friction (C) gravity (D) acceleration (E) position	motion	friction	gravity	acceleration	0	OPTION_B
Light can <span class="blank"> </span>off surfaces that it strikes. 	(A) energy (B) motion (C) reflect	motion	reflect			0	OPTION_B
Your respiratory system helps you <span class="blank"> </span>. 	(A) move (B) breathe (C) digest food	move	breathe	digest food		0	OPTION_B
The process by which molten material adds new oceanic crust to the ocean floor 	(A) Paleomagnetism (B) Continental Drift Theory (C) Seafloor Spreading Theory (D) Magnetite Spreading Theory	continental drift theory	seafloor spreading theory			0	OPTION_B
What is it called when two different organisms form a relationship where they are dependent upon each other? 	(A) Photosynthesis (B) Sensibility (C) Similarities (D) Symbiosis	photosynthesis	symbiosis			0	OPTION_B
When plants use stored sugar for energy, they go through a process called 	(A) photosynthesis (B) transpiration (C) respiration (D) perspiration	photosynthesis	transpiration	respiration	perspiration	0	OPTION_C
A liquid changing to a solid, A solid changing to a liquid, and a liquid changing into a gas are all examples of <span class="blank"> </span> 	(A) Physical change (B) Property (C) Evaporation (D) Boiling	physical change	evaporation	boiling		0	OPTION_A
What causes sunflowers to bend toward the sunlight? 	(A) positive tropism (B) transportation (C) pollination (D) negative tropism	positive tropism	transportation	pollination	negative tropism	0	OPTION_A
<span class="blank"> </span> is a process in the water cycle, where water vapor rises into the atmosphere. 	(A) Precipitation (B) Transpiration (C) Condensation (D) Evaporation	precipitation	transpiration	condensation	evaporation	0	OPTION_C
When two substances are combined, this may occur: 	(A) reaction (B) repel (C) retract (D) ray	reaction	repel	retract		0	OPTION_A
To take in light 	(A) reflect (B) absorb (C) refract (D) shadow	reflect	absorb	refract		0	OPTION_B
The bending of light as it passes from one material into another is 	(A) reflection (B) spectrum (C) refraction	reflection	refraction			0	OPTION_B
When light strikes a surface and bounces off, what occurs? 	(A) reflection (B) invisible spectrum (C) refraction	reflection	refraction			0	OPTION_A
During <span class="blank"> </span>, a light ray changes direction as it passes from one material to another. 	(A) refraction (B) reflection	refraction	reflection			0	OPTION_A
What is the name of the process by which most cells divide? 	(A) regeneration (B) mitosis (C) life cycle (D) chromosome	regeneration	mitosis	life cycle		0	OPTION_B
Magnets contain a force that <span class="blank"> </span> certain metals like iron. 	(A) repels (B) attracts (C) increases	repels	attracts	increases		0	OPTION_B
The process of change from an egg to an adult butterfly is ____________. 	(A) reproduction (B) metamorphosis (C) osteoporosis (D) photosynthesis	reproduction	metamorphosis	photosynthesis		0	OPTION_B
<span class="blank"> </span>is the spinning of a planet on its axis. 	(A) Revolution (B) Rotation (C) Orbit	revolution	rotation	orbit		0	OPTION_B
The spinning of a planet around an imaginary line through its center is called <span class="blank"> </span> 	(A) revolving (B) rotation (C) gravity (D) atmosphere	revolving	rotation	gravity		0	OPTION_B
To move in a circle around an object is to <span class="blank"> </span> 	(A) shadow (B) eclipse (C) rotate (D) revolve	eclipse	rotate	revolve		0	OPTION_B
The path Earth makes around the sun is called the 	(A) axis (B) rotation (C) counter clockwise (D) orbit	rotation	orbit			0	OPTION_B
When a planet moves around the sun, this is called a 	(A) rotation (B) revolution (C) spin (D) do si do	rotation	revolution	spin		0	OPTION_B
