	QUESTION	ANSWER_CHOICE	MEAN_SCORE	MAX_SCORE	MEDIAN_SCORE	CORRECT_ANSWER
0	"To move in a circle around an object is to <span class=""blank""> </span>"	revolve	1.726010457	1.726010457	1.726010457	revolve
1	"To move in a circle around an object is to <span class=""blank""> </span>"	rotate	0.500043374169	0.500043374169	0.500043374169	revolve
2	"To move in a circle around an object is to <span class=""blank""> </span>"	eclipse	0.0	0.0	0.0	revolve
3	How does your body acquire the oxygen the cells in your body need to function? 	absorption	0.0	0.0	0.0	breathing
4	How does your body acquire the oxygen the cells in your body need to function? 	breathing	0.0	0.0	0.0	breathing
5	How does your body acquire the oxygen the cells in your body need to function? 	osmosis	0.0	0.0	0.0	breathing
6	The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	terracing	0.000467494521549	0.000467494521549	0.000467494521549	crop rotation
7	The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	contour plowing	1.0	1.0	1.0	crop rotation
8	The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	crop rotation	0.0	0.0	0.0	crop rotation
9	The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	fertilization	0.00125592930352	0.00125592930352	0.00125592930352	crop rotation
10	"The force that keeps us on Earth is <span class=""blank""> </span> "	magnetism	0.765625	0.765625	0.765625	gravity
11	"The force that keeps us on Earth is <span class=""blank""> </span> "	inertia	0.0	0.0	0.0	gravity
12	"The force that keeps us on Earth is <span class=""blank""> </span> "	gravity	0.420787088192	0.420787088192	0.420787088192	gravity
13	When plants use stored sugar for energy, they go through a process called 	perspiration	0.0	0.0	0.0	respiration
14	When plants use stored sugar for energy, they go through a process called 	photosynthesis	1.0	1.0	1.0	respiration
15	When plants use stored sugar for energy, they go through a process called 	respiration	2.01600222974	2.01600222974	2.01600222974	respiration
16	When plants use stored sugar for energy, they go through a process called 	transpiration	1.00000814598	1.00000814598	1.00000814598	respiration
17	What is the name of the process by which most cells divide?	life cycle	0.0	0.0	0.0	mitosis
18	What is the name of the process by which most cells divide?	mitosis	2.0	2.0	2.0	mitosis
19	What is the name of the process by which most cells divide?	regeneration	0.0	0.0	0.0	mitosis
20	What starts the change from an igneous rock to a sedimentary rock? 	melting	1.51552369719	1.51552369719	1.51552369719	weathering
21	What starts the change from an igneous rock to a sedimentary rock? 	weathering	1.83686949726	1.83686949726	1.83686949726	weathering
22	A giraffe's long neck is a(n) 	mimicry	1.0	1.0	1.0	adaptation
23	A giraffe's long neck is a(n) 	adaptation	0.343320276178	0.343320276178	0.343320276178	adaptation
24	A giraffe's long neck is a(n) 	camouflage	0.546398013342	0.546398013342	0.546398013342	adaptation
25	The continuous movement of nitrogen between air, soil, plants and animals.	carbon cycle	0.547817141094	0.547817141094	0.547817141094	nitrogen cycle
26	The continuous movement of nitrogen between air, soil, plants and animals.	nitrogen cycle	1.0	1.0	1.0	nitrogen cycle
27	Rocks change over time from one type to another.	the rock cycle	2.0	2.0	2.0	the rock cycle
28	Rocks change over time from one type to another.	erosion	1.22222222222	1.22222222222	1.22222222222	the rock cycle
29	Rocks change over time from one type to another.	melting	1.00990031792	1.00990031792	1.00990031792	the rock cycle
30	"<span class=""blank""> </span> is a process in the water cycle, where water vapor rises into the atmosphere."	transpiration	1.3556672203	1.3556672203	1.3556672203	evaporation
31	"<span class=""blank""> </span> is a process in the water cycle, where water vapor rises into the atmosphere."	condensation	0.469800006595	0.469800006595	0.469800006595	evaporation
32	"<span class=""blank""> </span> is a process in the water cycle, where water vapor rises into the atmosphere."	precipitation	0.0	0.0	0.0	evaporation
33	"<span class=""blank""> </span> is a process in the water cycle, where water vapor rises into the atmosphere."	evaporation	1.27561434586	1.27561434586	1.27561434586	evaporation
34	Andy is cooking a piece of ham in a pan. 	conduction	0.0	0.0	0.0	conduction
35	Andy is cooking a piece of ham in a pan. 	friction	0.0	0.0	0.0	conduction
36	When light strikes a surface and bounces off, what occurs?	refraction	1.45687288591	1.45687288591	1.45687288591	reflection
37	What process produces sex cells?	mitosis	0.510980659482	0.510980659482	0.510980659482	meiosis
38	What process produces sex cells?	splitting	0.0	0.0	0.0	meiosis
39	What process produces sex cells?	meiosis	1.0	1.0	1.0	meiosis
40	"The process in which a snake loses its outer skin is called <span class=""blank""> </span>. "	shedding	0.54944785576	0.54944785576	0.54944785576	molting
41	"The process in which a snake loses its outer skin is called <span class=""blank""> </span>. "	loosening	0.0	0.0	0.0	molting
42	"The process in which a snake loses its outer skin is called <span class=""blank""> </span>. "	molting	1.59849782066	1.59849782066	1.59849782066	molting
43	When you rub your hands together very quickly, it produces heat and is called 	gravity	0.0331206728529	0.0331206728529	0.0331206728529	friction
44	When you rub your hands together very quickly, it produces heat and is called 	friction	2.0	2.0	2.0	friction
45	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	conduction	0.000572000129188	0.000572000129188	0.000572000129188	conduction
46	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	convection	0.0	0.0	0.0	conduction
47	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	combustion	0.0414009374243	0.0414009374243	0.0414009374243	conduction
48	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	radiation	0.0	0.0	0.0	conduction
49	"Teeth help us to <span class=""blank""> </span>. "	swim	0.0	0.0	0.0	talk
50	"Teeth help us to <span class=""blank""> </span>. "	write	0.0	0.0	0.0	talk
51	"Teeth help us to <span class=""blank""> </span>. "	talk	1.0	1.0	1.0	talk
52	"There is one more way to deal with our growing garbage problem. Leaves and grass clippings can be <span class=""blank""> </span>or placed in a pile in the backyard. They will break down into soil and not have to be collected and take up space in our landfills. "	separated	0.0699184297241	0.0699184297241	0.0699184297241	composted
53	"There is one more way to deal with our growing garbage problem. Leaves and grass clippings can be <span class=""blank""> </span>or placed in a pile in the backyard. They will break down into soil and not have to be collected and take up space in our landfills. "	composted	0.264227108968	0.264227108968	0.264227108968	composted
54	"There is one more way to deal with our growing garbage problem. Leaves and grass clippings can be <span class=""blank""> </span>or placed in a pile in the backyard. They will break down into soil and not have to be collected and take up space in our landfills. "	processed	0.0	0.0	0.0	composted
55	"There is one more way to deal with our growing garbage problem. Leaves and grass clippings can be <span class=""blank""> </span>or placed in a pile in the backyard. They will break down into soil and not have to be collected and take up space in our landfills. "	crushed	0.0	0.0	0.0	composted
56	Which of the following must all plant and animal species do in order for each species to survive?	migrate	0.331209798951	0.331209798951	0.331209798951	reproduce
57	Which of the following must all plant and animal species do in order for each species to survive?	reproduce	1.59103043862	1.59103043862	1.59103043862	reproduce
